lead_h,block_days,model_a,model_b,era5_delta_mae_a_minus_b_c,avamet_delta_mae_a_minus_b_c,avamet_minus_era5_delta_mae_c,switch_ci_low_c,switch_ci_high_c,p_switch_gt_zero,p_pairwise_order_reverses
24,1,graphcast_hres_init,pangu_hres_init,0.05384766701181898,-0.11005682157413621,-0.16424516712706452,-0.1892060779671325,-0.14070947348533855,0.0,1.0
24,1,ifs_hres,graphcast_hres_init,0.22395003739452357,0.06593666107350704,-0.15763621512549447,-0.17967214035621693,-0.1341002178002838,0.0,0.0
24,1,ifs_hres,pangu_hres_init,0.27779770440634255,-0.04412016050062917,-0.321881382252559,-0.35330346054072204,-0.29086637735262133,0.0,1.0
24,3,graphcast_hres_init,pangu_hres_init,0.05384766701181898,-0.11005682157413621,-0.16426949151138762,-0.1918142697131006,-0.13827846702621108,0.0,1.0
24,3,ifs_hres,graphcast_hres_init,0.22395003739452357,0.06593666107350704,-0.1579538126665788,-0.18279884108389155,-0.13292636456347792,0.0,0.0
24,3,ifs_hres,pangu_hres_init,0.27779770440634255,-0.04412016050062917,-0.3222233041779664,-0.35484555867755124,-0.2895323868133626,0.0,1.0
24,5,graphcast_hres_init,pangu_hres_init,0.05384766701181898,-0.11005682157413621,-0.1639596106846766,-0.19473622551497477,-0.1349750834501701,0.0,0.9995
24,5,ifs_hres,graphcast_hres_init,0.22395003739452357,0.06593666107350704,-0.1577764284018665,-0.184628437046063,-0.13093878309129567,0.0,0.0
24,5,ifs_hres,pangu_hres_init,0.27779770440634255,-0.04412016050062917,-0.3217360390865431,-0.3603311888577845,-0.284277515897562,0.0,1.0
24,7,graphcast_hres_init,pangu_hres_init,0.05384766701181898,-0.11005682157413621,-0.1640102388783584,-0.19643680186976192,-0.13317769929951234,0.0,0.9975
24,7,ifs_hres,graphcast_hres_init,0.22395003739452357,0.06593666107350704,-0.15831865838682171,-0.18360567494931823,-0.13137090167818807,0.0,0.0
24,7,ifs_hres,pangu_hres_init,0.27779770440634255,-0.04412016050062917,-0.32232889726518005,-0.363061871454311,-0.2840350372905314,0.0,1.0
48,1,graphcast_hres_init,pangu_hres_init,0.08187587961417897,-0.11467645908305246,-0.19654105133794394,-0.2231706690236978,-0.17101006748179254,0.0,1.0
48,1,ifs_hres,graphcast_hres_init,0.2416974719728151,0.062487501198114304,-0.1793038941078895,-0.2028626545109174,-0.1555471190867004,0.0,0.0
48,1,ifs_hres,pangu_hres_init,0.3235733515869941,-0.05218895788493816,-0.37584494544583347,-0.40968617885209413,-0.34119469792684526,0.0,1.0
48,3,graphcast_hres_init,pangu_hres_init,0.08187587961417897,-0.11467645908305246,-0.1967681307229182,-0.2282379851434405,-0.1653371784253529,0.0,1.0
48,3,ifs_hres,graphcast_hres_init,0.2416974719728151,0.062487501198114304,-0.17936095738513183,-0.20708943021689669,-0.15103587948045719,0.0,0.0
48,3,ifs_hres,pangu_hres_init,0.3235733515869941,-0.05218895788493816,-0.37612908810805,-0.4179047496461187,-0.33684886221328075,0.0,1.0
48,5,graphcast_hres_init,pangu_hres_init,0.08187587961417897,-0.11467645908305246,-0.1966025360485434,-0.23171830187776743,-0.1624264668947501,0.0,1.0
48,5,ifs_hres,graphcast_hres_init,0.2416974719728151,0.062487501198114304,-0.17908349078963215,-0.20912286920253567,-0.14810506490028258,0.0,0.0
48,5,ifs_hres,pangu_hres_init,0.3235733515869941,-0.05218895788493816,-0.3756860268381756,-0.4185477767481529,-0.33171097081034123,0.0,0.998
48,7,graphcast_hres_init,pangu_hres_init,0.08187587961417897,-0.11467645908305246,-0.19679995335088193,-0.233954328480083,-0.16096582685763824,0.0,1.0
48,7,ifs_hres,graphcast_hres_init,0.2416974719728151,0.062487501198114304,-0.1794431127921369,-0.21097987650161604,-0.14835247667633178,0.0,0.0
48,7,ifs_hres,pangu_hres_init,0.3235733515869941,-0.05218895788493816,-0.37624306614301883,-0.42497081889743366,-0.3308703578158957,0.0,0.999
72,1,graphcast_hres_init,pangu_hres_init,0.08544740114290417,-0.10713386865144092,-0.19251563455928597,-0.21949984508660944,-0.16596200643234085,0.0,1.0
72,1,ifs_hres,graphcast_hres_init,0.25206883721390194,0.07499564311346307,-0.17667840952412567,-0.2019748785684942,-0.15228337546629303,0.0,0.0
72,1,ifs_hres,pangu_hres_init,0.3375162383568061,-0.03213822553797785,-0.36919404408341167,-0.40384786604082046,-0.335544747099638,0.0,0.9735
72,3,graphcast_hres_init,pangu_hres_init,0.08544740114290417,-0.10713386865144092,-0.19272722464559666,-0.22638942694570674,-0.15883403877893684,0.0,1.0
72,3,ifs_hres,graphcast_hres_init,0.25206883721390194,0.07499564311346307,-0.17705983929978267,-0.2081555053009157,-0.14802404434061228,0.0,0.0
72,3,ifs_hres,pangu_hres_init,0.3375162383568061,-0.03213822553797785,-0.36978706394537936,-0.41277528770173394,-0.3276252672266723,0.0,0.9555
72,5,graphcast_hres_init,pangu_hres_init,0.08544740114290417,-0.10713386865144092,-0.19323597668230766,-0.22808693335053606,-0.1598787455243097,0.0,1.0
72,5,ifs_hres,graphcast_hres_init,0.25206883721390194,0.07499564311346307,-0.17693984814625371,-0.20864053450085593,-0.145514201540041,0.0,0.0
72,5,ifs_hres,pangu_hres_init,0.3375162383568061,-0.03213822553797785,-0.37017582482856143,-0.4154811222803515,-0.32290975453326026,0.0,0.9455
72,7,graphcast_hres_init,pangu_hres_init,0.08544740114290417,-0.10713386865144092,-0.19291193132808127,-0.22911778753022075,-0.1574555267580313,0.0,1.0
72,7,ifs_hres,graphcast_hres_init,0.25206883721390194,0.07499564311346307,-0.17723413352157794,-0.20819414483947057,-0.1455821301208545,0.0,0.0
72,7,ifs_hres,pangu_hres_init,0.3375162383568061,-0.03213822553797785,-0.37014606484965923,-0.4176495337330197,-0.32318550745696184,0.0,0.9455
120,1,graphcast_hres_init,pangu_hres_init,0.05738255323842689,-0.07388845901429075,-0.1309849230711289,-0.16308345691109957,-0.09717871672644571,0.0,0.968
120,1,ifs_hres,graphcast_hres_init,0.235046630267852,0.07469044937930214,-0.1603338417820361,-0.19292757910999722,-0.12712865089582662,0.0,0.001
120,1,ifs_hres,pangu_hres_init,0.2924291835062789,0.0008019903650113847,-0.29131876485316505,-0.3260383637212222,-0.2560967062868474,0.0,0.4975
120,3,graphcast_hres_init,pangu_hres_init,0.05738255323842689,-0.07388845901429075,-0.13160661161893483,-0.17216060983293047,-0.09067782823871101,0.0,0.9405
120,3,ifs_hres,graphcast_hres_init,0.235046630267852,0.07469044937930214,-0.15962054577603368,-0.1983548997206445,-0.12078411732351321,0.0,0.002
120,3,ifs_hres,pangu_hres_init,0.2924291835062789,0.0008019903650113847,-0.2912271573949685,-0.3360238293756733,-0.24861888461721832,0.0,0.504
120,5,graphcast_hres_init,pangu_hres_init,0.05738255323842689,-0.07388845901429075,-0.1316725280438475,-0.17263643739768367,-0.09116206428405578,0.0,0.9405
120,5,ifs_hres,graphcast_hres_init,0.235046630267852,0.07469044937930214,-0.16044633653790427,-0.20111670160796188,-0.12013669607133297,0.0,0.0005
120,5,ifs_hres,pangu_hres_init,0.2924291835062789,0.0008019903650113847,-0.29211886458175174,-0.3364751510818193,-0.2475637552456198,0.0,0.499
120,7,graphcast_hres_init,pangu_hres_init,0.05738255323842689,-0.07388845901429075,-0.13206465163132106,-0.17427074834703618,-0.0918969896038889,0.0,0.949
120,7,ifs_hres,graphcast_hres_init,0.235046630267852,0.07469044937930214,-0.16071223868698253,-0.20312492941433938,-0.12087460164311015,0.0,0.0005
120,7,ifs_hres,pangu_hres_init,0.2924291835062789,0.0008019903650113847,-0.29277689031830356,-0.339090454406076,-0.2500416246345923,0.0,0.4915
168,1,graphcast_hres_init,pangu_hres_init,0.021776690807452592,-0.08059384969360073,-0.10216733991441562,-0.1392312683892758,-0.06526674546701386,0.0,0.6825
168,1,ifs_hres,graphcast_hres_init,0.26730279599761175,0.1268070679289388,-0.1410874211943781,-0.1799679619025569,-0.10074450729647447,0.0,0.0005
168,1,ifs_hres,pangu_hres_init,0.28907948680506435,0.04621321823533808,-0.24325476110879374,-0.2831871537560665,-0.20351600927592875,0.0,0.1395
168,3,graphcast_hres_init,pangu_hres_init,0.021776690807452592,-0.08059384969360073,-0.10209583684984781,-0.14696445734853752,-0.058654932221636306,0.0,0.641
168,3,ifs_hres,graphcast_hres_init,0.26730279599761175,0.1268070679289388,-0.1399976749774641,-0.1852992320770943,-0.09598251927683452,0.0,0.0015
168,3,ifs_hres,pangu_hres_init,0.28907948680506435,0.04621321823533808,-0.24209351182731195,-0.28987237587024905,-0.19592229935573055,0.0,0.15
168,5,graphcast_hres_init,pangu_hres_init,0.021776690807452592,-0.08059384969360073,-0.10295378973604816,-0.14652972514297993,-0.057392311295167135,0.0,0.656
168,5,ifs_hres,graphcast_hres_init,0.26730279599761175,0.1268070679289388,-0.13920834818365957,-0.18678417455540441,-0.09436477726828313,0.0,0.0025
168,5,ifs_hres,pangu_hres_init,0.28907948680506435,0.04621321823533808,-0.24216213791970773,-0.2906847142230723,-0.19551059239401605,0.0,0.1605
168,7,graphcast_hres_init,pangu_hres_init,0.021776690807452592,-0.08059384969360073,-0.10255161827040198,-0.14450004166388727,-0.05972478523539692,0.0,0.6605
