lead_h,block_days,n_common_cases,n_daily_blocks,avamet_winner,era5_winner,p_winners_differ,primary_pair,primary_effect_c,primary_effect_ci_low_c,primary_effect_ci_high_c,primary_pair_reversal_probability
24,1,28392,363,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.16424516712706452,-0.1892060779671325,-0.14070947348533855,1.0
24,3,28392,363,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.16426949151138762,-0.1918142697131006,-0.13827846702621108,1.0
24,5,28392,363,graphcast_hres_init,pangu_hres_init,0.9995,graphcast_hres_init__minus__pangu_hres_init,-0.1639596106846766,-0.19473622551497477,-0.1349750834501701,0.9995
24,7,28392,363,graphcast_hres_init,pangu_hres_init,0.9975,graphcast_hres_init__minus__pangu_hres_init,-0.1640102388783584,-0.19643680186976192,-0.13317769929951234,0.9975
48,1,28312,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.19654105133794394,-0.2231706690236978,-0.17101006748179254,1.0
48,3,28312,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.1967681307229182,-0.2282379851434405,-0.1653371784253529,1.0
48,5,28312,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.1966025360485434,-0.23171830187776743,-0.1624264668947501,1.0
48,7,28312,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.19679995335088193,-0.233954328480083,-0.16096582685763824,1.0
72,1,28232,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.19251563455928597,-0.21949984508660944,-0.16596200643234085,1.0
72,3,28232,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.19272722464559666,-0.22638942694570674,-0.15883403877893684,1.0
72,5,28232,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.19323597668230766,-0.22808693335053606,-0.1598787455243097,1.0
72,7,28232,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.19291193132808127,-0.22911778753022075,-0.1574555267580313,1.0
120,1,28073,359,graphcast_hres_init,pangu_hres_init,0.968,graphcast_hres_init__minus__pangu_hres_init,-0.1309849230711289,-0.16308345691109957,-0.09717871672644571,0.968
120,3,28073,359,graphcast_hres_init,pangu_hres_init,0.941,graphcast_hres_init__minus__pangu_hres_init,-0.13160661161893483,-0.17216060983293047,-0.09067782823871101,0.9405
120,5,28073,359,graphcast_hres_init,pangu_hres_init,0.9405,graphcast_hres_init__minus__pangu_hres_init,-0.1316725280438475,-0.17263643739768367,-0.09116206428405578,0.9405
120,7,28073,359,graphcast_hres_init,pangu_hres_init,0.949,graphcast_hres_init__minus__pangu_hres_init,-0.13206465163132106,-0.17427074834703618,-0.0918969896038889,0.949
168,1,27917,357,graphcast_hres_init,pangu_hres_init,0.6825,graphcast_hres_init__minus__pangu_hres_init,-0.10216733991441562,-0.1392312683892758,-0.06526674546701386,0.6825
168,3,27917,357,graphcast_hres_init,pangu_hres_init,0.641,graphcast_hres_init__minus__pangu_hres_init,-0.10209583684984781,-0.14696445734853752,-0.058654932221636306,0.641
168,5,27917,357,graphcast_hres_init,pangu_hres_init,0.6565,graphcast_hres_init__minus__pangu_hres_init,-0.10295378973604816,-0.14652972514297993,-0.057392311295167135,0.656
168,7,27917,357,graphcast_hres_init,pangu_hres_init,0.661,graphcast_hres_init__minus__pangu_hres_init,-0.10255161827040198,-0.14450004166388727,-0.05972478523539692,0.6605
