lead_h,block_days,reference,model,n_common_cases,n_daily_blocks,mae_c_day_weighted,mae_ci_low_c,mae_ci_high_c,winner_probability,mae_rank
24,1,avamet,graphcast_hres_init,28392,363,1.681177240439399,1.6541622381596512,1.7074844330708538,1.0,1
24,1,avamet,ifs_hres,28392,363,1.7471139015129062,1.7166066502363582,1.7774924008220168,0.0,2
24,1,avamet,pangu_hres_init,28392,363,1.7912340620135367,1.7608638988478578,1.8225681884931333,0.0,3
24,1,era5_station,pangu_hres_init,28392,363,0.8984923601717979,0.8729676447916006,0.9234269110049751,1.0,1
24,1,era5_station,graphcast_hres_init,28392,363,0.9523400271836167,0.9295162896958783,0.9750003480803813,0.0,2
24,1,era5_station,ifs_hres,28392,363,1.1762900645781404,1.1480440684650839,1.2058795582920903,0.0,3
24,3,avamet,graphcast_hres_init,28392,363,1.681177240439399,1.645354219727082,1.7170140118139876,1.0,1
24,3,avamet,ifs_hres,28392,363,1.7471139015129062,1.7059812454964032,1.786534810577913,0.0,2
24,3,avamet,pangu_hres_init,28392,363,1.7912340620135367,1.7518155611116784,1.8321783492405685,0.0,3
24,3,era5_station,pangu_hres_init,28392,363,0.8984923601717979,0.8726811983558606,0.9256483801923225,1.0,1
24,3,era5_station,graphcast_hres_init,28392,363,0.9523400271836167,0.9268247316383892,0.9783141575380575,0.0,2
24,3,era5_station,ifs_hres,28392,363,1.1762900645781404,1.1390415842735846,1.2163008344612878,0.0,3
24,5,avamet,graphcast_hres_init,28392,363,1.681177240439399,1.6399726913503465,1.7205629310861945,1.0,1
24,5,avamet,ifs_hres,28392,363,1.7471139015129062,1.7024157137758802,1.790522436337417,0.0,2
24,5,avamet,pangu_hres_init,28392,363,1.7912340620135367,1.7472436932176498,1.8336792662254249,0.0,3
24,5,era5_station,pangu_hres_init,28392,363,0.8984923601717979,0.86770655225514,0.9281593698915057,0.9995,1
24,5,era5_station,graphcast_hres_init,28392,363,0.9523400271836167,0.9248812718429839,0.9812986153019688,0.0005,2
24,5,era5_station,ifs_hres,28392,363,1.1762900645781404,1.1375391197348792,1.2183469281596047,0.0,3
24,7,avamet,graphcast_hres_init,28392,363,1.681177240439399,1.6392749774936684,1.7258595099448861,1.0,1
24,7,avamet,ifs_hres,28392,363,1.7471139015129062,1.70262067781606,1.7948286240959286,0.0,2
24,7,avamet,pangu_hres_init,28392,363,1.7912340620135367,1.746788397042701,1.8354416928255437,0.0,3
24,7,era5_station,pangu_hres_init,28392,363,0.8984923601717979,0.8676072069964615,0.9300959146312979,0.9975,1
24,7,era5_station,graphcast_hres_init,28392,363,0.9523400271836167,0.9236171940096052,0.9820550291887464,0.0025,2
24,7,era5_station,ifs_hres,28392,363,1.1762900645781404,1.1333699720662331,1.2200370785564267,0.0,3
48,1,avamet,graphcast_hres_init,28312,362,1.733567966570547,1.7064630242188015,1.7628709215446525,1.0,1
48,1,avamet,ifs_hres,28312,362,1.7960554677686622,1.7651424100375424,1.8298121355725838,0.0,2
48,1,avamet,pangu_hres_init,28312,362,1.8482444256535995,1.817616303891181,1.8831188364171099,0.0,3
48,1,era5_station,pangu_hres_init,28312,362,0.920218011655291,0.8927622208754529,0.9493794206354015,1.0,1
48,1,era5_station,graphcast_hres_init,28312,362,1.0020938912694697,0.9751835977277926,1.0288135057485712,0.0,2
48,1,era5_station,ifs_hres,28312,362,1.2437913632422846,1.2092680276982064,1.278717601548517,0.0,3
48,3,avamet,graphcast_hres_init,28312,362,1.733567966570547,1.696992697941463,1.7726039301375431,1.0,1
48,3,avamet,ifs_hres,28312,362,1.7960554677686622,1.7548389460614155,1.836556239431479,0.0,2
48,3,avamet,pangu_hres_init,28312,362,1.8482444256535995,1.8097701747626107,1.8902834939332676,0.0,3
48,3,era5_station,pangu_hres_init,28312,362,0.920218011655291,0.8865268195173486,0.9519531318630963,1.0,1
48,3,era5_station,graphcast_hres_init,28312,362,1.0020938912694697,0.9716893222988631,1.0316384595317813,0.0,2
