network,model,reference,sigma_km,block_days,metric,change,ci_low,ci_high,p_smoothing_improves
inmet_hourly,graphcast_hres_init,era5,12.5,7,rmse,-0.0122732471354633,-0.0130237679701286,-0.0114908971576254,1.0
inmet_hourly,graphcast_hres_init,era5,25.0,7,rmse,-0.029524352698802,-0.0326462837926452,-0.0262792861810879,1.0
inmet_hourly,graphcast_hres_init,era5,50.0,7,rmse,0.0773408890783242,0.0710631927884483,0.0837530441153214,0.0
inmet_hourly,graphcast_hres_init,era5,100.0,7,rmse,0.299407173746237,0.2850122341095735,0.3140449097221536,0.0
inmet_hourly,graphcast_hres_init,station,12.5,7,rmse,0.0084549635587755,0.0079224029797051,0.0089833601509553,0.0
inmet_hourly,graphcast_hres_init,station,25.0,7,rmse,0.0987632780272415,0.094719488506292,0.1028279558933274,0.0
inmet_hourly,graphcast_hres_init,station,50.0,7,rmse,0.2355882943905792,0.2278470414030448,0.2437125767000431,0.0
inmet_hourly,graphcast_hres_init,station,100.0,7,rmse,0.4294580258691698,0.4164946426552124,0.4413942448564605,0.0
inmet_hourly,ifs_hres,era5,12.5,7,rmse,-0.0176845524985888,-0.018536551043954,-0.0168090379398795,1.0
inmet_hourly,ifs_hres,era5,25.0,7,rmse,-0.0625352238995433,-0.0666619271613468,-0.0585543580314534,1.0
inmet_hourly,ifs_hres,era5,50.0,7,rmse,0.0092113427919301,0.0014117310436437,0.0170617377770593,0.01
inmet_hourly,ifs_hres,era5,100.0,7,rmse,0.1928310200643131,0.1741017039643277,0.2116840795719539,0.0
inmet_hourly,ifs_hres,station,12.5,7,rmse,0.0056704211887251,0.0050278932256095,0.0063039194657639,0.0
inmet_hourly,ifs_hres,station,25.0,7,rmse,0.0818045973498046,0.0779317086732966,0.0855155704977144,0.0
inmet_hourly,ifs_hres,station,50.0,7,rmse,0.2008719022031322,0.1930145905736144,0.2083679463520882,0.0
inmet_hourly,ifs_hres,station,100.0,7,rmse,0.3751132602549088,0.3605988602309117,0.3892430359384455,0.0
inmet_hourly,pangu_hres_init,era5,12.5,7,rmse,-0.0057965837130858,-0.0061385926955472,-0.0054698276888916,1.0
inmet_hourly,pangu_hres_init,era5,25.0,7,rmse,-0.0050795414599032,-0.0073924170117951,-0.0028177573513082,1.0
inmet_hourly,pangu_hres_init,era5,50.0,7,rmse,0.1013119621366263,0.0946933636398818,0.1077376977705504,0.0
inmet_hourly,pangu_hres_init,era5,100.0,7,rmse,0.3172176261292775,0.3036803478643207,0.3303820988223421,0.0
inmet_hourly,pangu_hres_init,station,12.5,7,rmse,0.0060418114478334,0.0056454287793875,0.0064622036645335,0.0
inmet_hourly,pangu_hres_init,station,25.0,7,rmse,0.0785162808739262,0.0753436737915621,0.081667325697382,0.0
inmet_hourly,pangu_hres_init,station,50.0,7,rmse,0.207675624669037,0.200804025564753,0.2145768237110374,0.0
inmet_hourly,pangu_hres_init,station,100.0,7,rmse,0.3950481437559909,0.3838533024296599,0.4056816311816363,0.0
midas_open_uk,graphcast_hres_init,era5,12.5,7,rmse,-0.019724305788366,-0.0237400198259152,-0.0159722782119665,1.0
midas_open_uk,graphcast_hres_init,era5,25.0,7,rmse,-0.0148927133378138,-0.0332993425617433,0.0031400698159117,0.948
midas_open_uk,graphcast_hres_init,era5,50.0,7,rmse,0.1871839307500055,0.1462159028510561,0.2278953320462262,0.0
midas_open_uk,graphcast_hres_init,era5,100.0,7,rmse,0.5843111993424572,0.5183595899882287,0.6499230270268666,0.0
midas_open_uk,graphcast_hres_init,station,12.5,7,rmse,0.0124275431819297,0.0095324602436402,0.015199109543419,0.0
midas_open_uk,graphcast_hres_init,station,25.0,7,rmse,0.0628670785329345,0.0463696039626451,0.0789187168720196,0.0
midas_open_uk,graphcast_hres_init,station,50.0,7,rmse,0.2113592332140775,0.1716820396169225,0.2490460310226894,0.0
midas_open_uk,graphcast_hres_init,station,100.0,7,rmse,0.488180069462214,0.4243233001518665,0.5486368250219391,0.0
midas_open_uk,ifs_hres,era5,12.5,7,rmse,-0.0518617576348241,-0.0549409006497555,-0.0488957626745017,1.0
midas_open_uk,ifs_hres,era5,25.0,7,rmse,-0.1206358970169914,-0.1373005894335666,-0.1036674061651445,1.0
midas_open_uk,ifs_hres,era5,50.0,7,rmse,0.0136492462115044,-0.0320519809827939,0.0628463599722906,0.2985
midas_open_uk,ifs_hres,era5,100.0,7,rmse,0.3711085317344729,0.2942852357146881,0.4548217505422327,0.0
midas_open_uk,ifs_hres,station,12.5,7,rmse,0.0104403238495469,0.0068154131509446,0.0146226093257243,0.0
midas_open_uk,ifs_hres,station,25.0,7,rmse,0.0474435094075632,0.0282613017524274,0.068604515140709,0.0
midas_open_uk,ifs_hres,station,50.0,7,rmse,0.1714875555707569,0.1270052297088364,0.2197165047346852,0.0
midas_open_uk,ifs_hres,station,100.0,7,rmse,0.4242385186271316,0.3513098008217868,0.5042388804858725,0.0
midas_open_uk,pangu_hres_init,era5,12.5,7,rmse,-0.0071470536693625,-0.0088520162269703,-0.0054151081577361,1.0
midas_open_uk,pangu_hres_init,era5,25.0,7,rmse,0.0343607766312257,0.0256706772440995,0.0437074502573713,0.0
midas_open_uk,pangu_hres_init,era5,50.0,7,rmse,0.2376184668809746,0.2159676005681988,0.2620052412957442,0.0
midas_open_uk,pangu_hres_init,era5,100.0,7,rmse,0.6258534308320514,0.5817116097249212,0.6730202179082597,0.0
midas_open_uk,pangu_hres_init,station,12.5,7,rmse,0.0105468031696207,0.0086977401094113,0.0126282015015059,0.0
midas_open_uk,pangu_hres_init,station,25.0,7,rmse,0.0629788820128338,0.0533616358236108,0.0736312115699409,0.0
midas_open_uk,pangu_hres_init,station,50.0,7,rmse,0.2045793444604613,0.1804115875336706,0.2310255664107068,0.0
midas_open_uk,pangu_hres_init,station,100.0,7,rmse,0.4817424177256053,0.4375572230944544,0.5283855089190738,0.0
