lead_h,metric,bootstrap,spatial_block_degrees,n_spatial_blocks,temporal_block_days,n_complete_spatial_days,n_common_cases,n_stations,avamet_winner,era5_winner,bootstrap_winners_differ_frequency,primary_effect_c,primary_effect_ci_low_c,primary_effect_ci_high_c,bootstrap_pairwise_ranking_reversal_frequency
24,mae,nested_temporal_and_spatial_cluster,0.5,20,1,359,102976,146,graphcast_hres_init,pangu_hres_init,0.9015,-0.13798498429434936,-0.20440392908833455,-0.0672729647102153,0.8655
24,mae,nested_temporal_and_spatial_cluster,0.5,20,3,359,102976,146,graphcast_hres_init,pangu_hres_init,0.891,-0.13778457916283174,-0.20373720212618296,-0.06400517405223739,0.848
24,mae,nested_temporal_and_spatial_cluster,0.5,20,5,359,102976,146,graphcast_hres_init,pangu_hres_init,0.894,-0.13953067546071748,-0.2097915458941557,-0.06444311801298823,0.8575
24,mae,nested_temporal_and_spatial_cluster,0.5,20,7,359,102976,146,graphcast_hres_init,pangu_hres_init,0.89,-0.13845534139941054,-0.20614894944250794,-0.06351851971827166,0.851
24,mae,nested_temporal_and_spatial_cluster,1.0,10,1,362,102976,146,graphcast_hres_init,pangu_hres_init,0.782,-0.13516727926494668,-0.21729564539587437,-0.06013866366481924,0.662
24,mae,nested_temporal_and_spatial_cluster,1.0,10,3,362,102976,146,graphcast_hres_init,pangu_hres_init,0.792,-0.13613346572913684,-0.2171811479789629,-0.05945052419351005,0.686
24,mae,nested_temporal_and_spatial_cluster,1.0,10,5,362,102976,146,graphcast_hres_init,pangu_hres_init,0.7845,-0.13497471898475397,-0.21866015014019735,-0.05948805569306307,0.6795
24,mae,nested_temporal_and_spatial_cluster,1.0,10,7,362,102976,146,graphcast_hres_init,pangu_hres_init,0.7975,-0.13601880745913295,-0.21811422841643555,-0.05792770020393543,0.6875
48,mae,nested_temporal_and_spatial_cluster,0.5,20,1,358,102694,146,graphcast_hres_init,pangu_hres_init,0.9145,-0.16168661948117505,-0.24610273855954767,-0.06781082168424048,0.8645
48,mae,nested_temporal_and_spatial_cluster,0.5,20,3,358,102694,146,graphcast_hres_init,pangu_hres_init,0.9255,-0.16212731328678057,-0.2447287532971609,-0.06839911121125822,0.88
48,mae,nested_temporal_and_spatial_cluster,0.5,20,5,358,102694,146,graphcast_hres_init,pangu_hres_init,0.918,-0.1606909394060361,-0.2446860271603769,-0.06912287078556455,0.8605
48,mae,nested_temporal_and_spatial_cluster,0.5,20,7,358,102694,146,graphcast_hres_init,pangu_hres_init,0.916,-0.16160700246307114,-0.2457166859678873,-0.0684238674490278,0.8675
48,mae,nested_temporal_and_spatial_cluster,1.0,10,1,361,102694,146,graphcast_hres_init,pangu_hres_init,0.8285,-0.15857188281931,-0.26260382095865337,-0.062333795051255934,0.694
48,mae,nested_temporal_and_spatial_cluster,1.0,10,3,361,102694,146,graphcast_hres_init,pangu_hres_init,0.832,-0.1594826552849841,-0.2642723575386586,-0.05737686311319938,0.7025
48,mae,nested_temporal_and_spatial_cluster,1.0,10,5,361,102694,146,graphcast_hres_init,pangu_hres_init,0.811,-0.15727893578891797,-0.2643550375944176,-0.058296965169933566,0.691
48,mae,nested_temporal_and_spatial_cluster,1.0,10,7,361,102694,146,graphcast_hres_init,pangu_hres_init,0.816,-0.155769736523595,-0.26284974353140306,-0.058833096825576595,0.6855
72,mae,nested_temporal_and_spatial_cluster,0.5,20,1,357,102412,146,graphcast_hres_init,pangu_hres_init,0.921,-0.15716630811486348,-0.23012636041069204,-0.0715361373821522,0.8845
72,mae,nested_temporal_and_spatial_cluster,0.5,20,3,357,102412,146,graphcast_hres_init,pangu_hres_init,0.9095,-0.15636120415974644,-0.23242930548144647,-0.07216516466466377,0.872
72,mae,nested_temporal_and_spatial_cluster,0.5,20,5,357,102412,146,graphcast_hres_init,pangu_hres_init,0.905,-0.1556283629826714,-0.22977230626237147,-0.06808580623306262,0.8665
72,mae,nested_temporal_and_spatial_cluster,0.5,20,7,357,102412,146,graphcast_hres_init,pangu_hres_init,0.916,-0.1565382985248855,-0.22643803987224181,-0.06944537948385737,0.8895
72,mae,nested_temporal_and_spatial_cluster,1.0,10,1,360,102412,146,graphcast_hres_init,pangu_hres_init,0.8085,-0.15320652030799153,-0.24643830829326613,-0.05924699523198546,0.695
72,mae,nested_temporal_and_spatial_cluster,1.0,10,3,360,102412,146,graphcast_hres_init,pangu_hres_init,0.8055,-0.15168402666031716,-0.24777004083307588,-0.054516646775505606,0.6845
72,mae,nested_temporal_and_spatial_cluster,1.0,10,5,360,102412,146,graphcast_hres_init,pangu_hres_init,0.803,-0.1510861568989202,-0.2438008048188755,-0.0566138261683623,0.695
72,mae,nested_temporal_and_spatial_cluster,1.0,10,7,360,102412,146,graphcast_hres_init,pangu_hres_init,0.8095,-0.15261479342251766,-0.24672163793230822,-0.05862515141309331,0.685
