metric,scale_km,slope_c_per_k,spearman,families,median,ci_low,ci_high,ci_excludes_zero_positive,resolution
mae,25,-1.016994707093179,-0.7999999999999999,4,-1.0176122528530716,-1.0912929669580589,-0.9407542140853395,False,native_0p25deg
mae,50,-0.5669875122925108,-0.7999999999999999,4,-0.5673104922986224,-0.6109112793098272,-0.5207601601295494,False,native_0p25deg
mae,100,-0.4317863981961146,-0.7999999999999999,4,-0.4320991734332431,-0.4662638054301412,-0.3960229784259214,False,native_0p25deg
rmse,25,-1.0636948753677504,-0.7999999999999999,4,-1.0635981291404812,-1.2159144464857932,-0.8871595470991167,False,native_0p25deg
rmse,50,-0.5812584073019849,-0.7999999999999999,4,-0.5812879466127252,-0.6726353551294086,-0.4760163337224177,False,native_0p25deg
rmse,100,-0.4396762758638125,-0.7999999999999999,4,-0.4396119236366186,-0.5110339642724716,-0.3578728998774431,False,native_0p25deg
mae,300,1.375037334678693,0.3999999999999999,4,1.3718409612569509,1.2080762335245567,1.5503963961021798,True,common_1p5deg
mae,600,-0.6487120372192045,0.0,4,-0.7080925906646169,-4.486814605410211,4.425729370022678,False,common_1p5deg
mae,1200,-0.912766416433412,-0.7999999999999999,4,-0.9073286712596288,-1.0954144129448005,-0.7736644415711068,False,common_1p5deg
rmse,300,2.7166959906856785,0.3999999999999999,4,2.714348008156852,2.4003018628352355,3.0540350346034635,True,common_1p5deg
rmse,600,-0.7138013046405531,0.0,4,-0.8421778268825104,-8.41701079379442,9.139217782506872,False,common_1p5deg
rmse,1200,-1.7850420348060363,-0.7999999999999999,4,-1.7730746529418575,-2.160016136338839,-1.5113577348267997,False,common_1p5deg
