network,weighting,metric,support_km,ranking_best_to_worst,ranking_code,winner,winner_label,winner_score_c,runner_up_score_c,winner_margin_c,spearman_vs_point_ranking,pairwise_inversions_vs_point,possible_pairs,winner_changed_vs_point,n_centres,n_days
inmet_hourly,gaussian,mae,0.0,graphcast_hres_init|ifs_hres|pangu_hres_init,G–I–P,graphcast_hres_init,GraphCast,1.543253293219737,1.5906613786618358,0.047408085442098846,1.0,0,3,False,37,365
inmet_hourly,gaussian,mae,50.0,graphcast_hres_init|pangu_hres_init|ifs_hres,G–P–I,graphcast_hres_init,GraphCast,1.1998907549420263,1.2259864150372168,0.026095660095190487,0.5,1,3,False,37,365
inmet_hourly,gaussian,mae,100.0,pangu_hres_init|graphcast_hres_init|ifs_hres,P–G–I,pangu_hres_init,Pangu,1.0891338734911336,1.133461225248206,0.044327351757072364,-0.5,2,3,True,37,365
inmet_hourly,gaussian,mae,200.0,pangu_hres_init|graphcast_hres_init|ifs_hres,P–G–I,pangu_hres_init,Pangu,1.094431937270392,1.1995071962307566,0.10507525896036474,-0.5,2,3,True,37,365
inmet_hourly,gaussian,rmse,0.0,graphcast_hres_init|ifs_hres|pangu_hres_init,G–I–P,graphcast_hres_init,GraphCast,2.165118435632184,2.228390689030989,0.0632722533988046,1.0,0,3,False,37,365
inmet_hourly,gaussian,rmse,50.0,graphcast_hres_init|pangu_hres_init|ifs_hres,G–P–I,graphcast_hres_init,GraphCast,1.5677557898841232,1.6088837794687598,0.04112798958463659,0.5,1,3,False,37,365
inmet_hourly,gaussian,rmse,100.0,pangu_hres_init|graphcast_hres_init|ifs_hres,P–G–I,pangu_hres_init,Pangu,1.391848894304333,1.4534397515011488,0.061590857196815785,-0.5,2,3,True,37,365
inmet_hourly,gaussian,rmse,200.0,pangu_hres_init|graphcast_hres_init|ifs_hres,P–G–I,pangu_hres_init,Pangu,1.4156856078690068,1.5381069148630262,0.12242130699401943,-0.5,2,3,True,37,365
inmet_hourly,uniform,mae,0.0,graphcast_hres_init|ifs_hres|pangu_hres_init,G–I–P,graphcast_hres_init,GraphCast,1.543253293219737,1.5906613786618358,0.047408085442098846,1.0,0,3,False,37,365
inmet_hourly,uniform,mae,50.0,pangu_hres_init|graphcast_hres_init|ifs_hres,P–G–I,pangu_hres_init,Pangu,1.238843278762504,1.2711567620782789,0.03231348331577477,-0.5,2,3,True,37,365
inmet_hourly,uniform,mae,100.0,pangu_hres_init|graphcast_hres_init|ifs_hres,P–G–I,pangu_hres_init,Pangu,1.150516502263398,1.2244285067524014,0.07391200448900337,-0.5,2,3,True,37,365
inmet_hourly,uniform,mae,200.0,pangu_hres_init|graphcast_hres_init|ifs_hres,P–G–I,pangu_hres_init,Pangu,1.2298221974337575,1.3548283803648618,0.12500618293110421,-0.5,2,3,True,37,365
inmet_hourly,uniform,rmse,0.0,graphcast_hres_init|ifs_hres|pangu_hres_init,G–I–P,graphcast_hres_init,GraphCast,2.165118435632184,2.228390689030989,0.0632722533988046,1.0,0,3,False,37,365
inmet_hourly,uniform,rmse,50.0,pangu_hres_init|graphcast_hres_init|ifs_hres,P–G–I,pangu_hres_init,Pangu,1.6070804964670646,1.639374290522748,0.032293794055683334,-0.5,2,3,True,37,365
inmet_hourly,uniform,rmse,100.0,pangu_hres_init|graphcast_hres_init|ifs_hres,P–G–I,pangu_hres_init,Pangu,1.4897748941495998,1.589592611878457,0.09981771772885706,-0.5,2,3,True,37,365
inmet_hourly,uniform,rmse,200.0,pangu_hres_init|graphcast_hres_init|ifs_hres,P–G–I,pangu_hres_init,Pangu,1.5828177060794488,1.7198087762808385,0.13699107020138968,-0.5,2,3,True,37,365
midas_open_uk,gaussian,mae,0.0,graphcast_hres_init|ifs_hres|pangu_hres_init,G–I–P,graphcast_hres_init,GraphCast,1.0231046604146985,1.032781265086601,0.009676604671902567,1.0,0,3,False,71,365
midas_open_uk,gaussian,mae,50.0,graphcast_hres_init|ifs_hres|pangu_hres_init,G–I–P,graphcast_hres_init,GraphCast,0.8542499733976232,0.8935287518605735,0.03927877846295025,1.0,0,3,False,71,365
midas_open_uk,gaussian,mae,100.0,graphcast_hres_init|pangu_hres_init|ifs_hres,G–P–I,graphcast_hres_init,GraphCast,0.7993244570743693,0.8394197482879556,0.04009529121358635,0.5,1,3,False,71,365
midas_open_uk,gaussian,mae,200.0,graphcast_hres_init|pangu_hres_init|ifs_hres,G–P–I,graphcast_hres_init,GraphCast,0.7931511018754414,0.7979280772534242,0.004776975377982828,0.5,1,3,False,71,365
midas_open_uk,gaussian,rmse,0.0,graphcast_hres_init|ifs_hres|pangu_hres_init,G–I–P,graphcast_hres_init,GraphCast,1.344981065507687,1.3612664737828533,0.016285408275166224,1.0,0,3,False,71,365
midas_open_uk,gaussian,rmse,50.0,graphcast_hres_init|ifs_hres|pangu_hres_init,G–I–P,graphcast_hres_init,GraphCast,1.117109677335703,1.177086832985084,0.05997715564938111,1.0,0,3,False,71,365
midas_open_uk,gaussian,rmse,100.0,graphcast_hres_init|pangu_hres_init|ifs_hres,G–P–I,graphcast_hres_init,GraphCast,1.0490645791468178,1.1017427584200146,0.052678179273196735,0.5,1,3,False,71,365
midas_open_uk,gaussian,rmse,200.0,graphcast_hres_init|pangu_hres_init|ifs_hres,G–P–I,graphcast_hres_init,GraphCast,1.0475265551936348,1.055566954790917,0.0080403995972822,0.5,1,3,False,71,365
midas_open_uk,uniform,mae,0.0,graphcast_hres_init|ifs_hres|pangu_hres_init,G–I–P,graphcast_hres_init,GraphCast,1.0231046604146985,1.032781265086601,0.009676604671902567,1.0,0,3,False,71,365
