network,model,reference,sigma_km,change,ci_low,ci_high,metric,block_days,p_smoothing_improves,figure_panel,ladder,weighting,support_km,optimal_sigma_km_point,optimal_sigma_km_bootstrap_mean,optimal_sigma_ci_low_km,optimal_sigma_ci_high_km,p_optimal_sigma_gt_zero,route,thinning_mean,thinning_median,thinning_ci_low,thinning_ci_high
inmet_hourly,ifs_hres,era5,0.0,0.0,0.0,0.0,rmse,7.0,,a,,,,,,,,,,,,,
inmet_hourly,ifs_hres,station,0.0,0.0,0.0,0.0,rmse,7.0,,a,,,,,,,,,,,,,
inmet_hourly,graphcast_hres_init,era5,0.0,0.0,0.0,0.0,rmse,7.0,,a,,,,,,,,,,,,,
inmet_hourly,graphcast_hres_init,station,0.0,0.0,0.0,0.0,rmse,7.0,,a,,,,,,,,,,,,,
inmet_hourly,pangu_hres_init,era5,0.0,0.0,0.0,0.0,rmse,7.0,,a,,,,,,,,,,,,,
inmet_hourly,pangu_hres_init,station,0.0,0.0,0.0,0.0,rmse,7.0,,a,,,,,,,,,,,,,
inmet_hourly,graphcast_hres_init,era5,12.5,-0.0122732471354633,-0.0130237679701286,-0.0114908971576254,rmse,7.0,1.0,a,,,,,,,,,,,,,
inmet_hourly,graphcast_hres_init,era5,25.0,-0.029524352698802,-0.0326462837926452,-0.0262792861810879,rmse,7.0,1.0,a,,,,,,,,,,,,,
inmet_hourly,graphcast_hres_init,era5,50.0,0.0773408890783242,0.0710631927884483,0.0837530441153214,rmse,7.0,0.0,a,,,,,,,,,,,,,
inmet_hourly,graphcast_hres_init,era5,100.0,0.299407173746237,0.2850122341095735,0.3140449097221536,rmse,7.0,0.0,a,,,,,,,,,,,,,
inmet_hourly,graphcast_hres_init,station,12.5,0.0084549635587755,0.0079224029797051,0.0089833601509553,rmse,7.0,0.0,a,,,,,,,,,,,,,
inmet_hourly,graphcast_hres_init,station,25.0,0.0987632780272415,0.094719488506292,0.1028279558933274,rmse,7.0,0.0,a,,,,,,,,,,,,,
inmet_hourly,graphcast_hres_init,station,50.0,0.2355882943905792,0.2278470414030448,0.2437125767000431,rmse,7.0,0.0,a,,,,,,,,,,,,,
inmet_hourly,graphcast_hres_init,station,100.0,0.4294580258691698,0.4164946426552124,0.4413942448564605,rmse,7.0,0.0,a,,,,,,,,,,,,,
inmet_hourly,ifs_hres,era5,12.5,-0.0176845524985888,-0.018536551043954,-0.0168090379398795,rmse,7.0,1.0,a,,,,,,,,,,,,,
inmet_hourly,ifs_hres,era5,25.0,-0.0625352238995433,-0.0666619271613468,-0.0585543580314534,rmse,7.0,1.0,a,,,,,,,,,,,,,
inmet_hourly,ifs_hres,era5,50.0,0.0092113427919301,0.0014117310436437,0.0170617377770593,rmse,7.0,0.01,a,,,,,,,,,,,,,
inmet_hourly,ifs_hres,era5,100.0,0.1928310200643131,0.1741017039643277,0.2116840795719539,rmse,7.0,0.0,a,,,,,,,,,,,,,
inmet_hourly,ifs_hres,station,12.5,0.0056704211887251,0.0050278932256095,0.0063039194657639,rmse,7.0,0.0,a,,,,,,,,,,,,,
inmet_hourly,ifs_hres,station,25.0,0.0818045973498046,0.0779317086732966,0.0855155704977144,rmse,7.0,0.0,a,,,,,,,,,,,,,
