network,model,model_family,cohort,reference,sigma_km,metric,score,n_days
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,era5,0.0,centred_rmse,1.0080138872419468,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,era5,12.5,centred_rmse,1.0057994126597962,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,era5,25.0,centred_rmse,1.016901762557217,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,era5,50.0,centred_rmse,1.1194533451921225,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,era5,100.0,centred_rmse,1.3222530527423817,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,era5,0.0,mae,0.7402563687295476,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,era5,12.5,mae,0.7385207946386095,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,era5,25.0,mae,0.7546002269974802,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,era5,50.0,mae,0.8517401498730126,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,era5,100.0,mae,1.0243862007403628,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,era5,0.0,rmse,1.0088591310555488,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,era5,12.5,rmse,1.0065598747200026,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,era5,25.0,rmse,1.0173061682191518,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,era5,50.0,rmse,1.1195016078338758,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,era5,100.0,rmse,1.3276856216529653,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,station,0.0,centred_rmse,1.8198448049444198,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,station,12.5,centred_rmse,1.821434871831188,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,station,25.0,centred_rmse,1.8567202839643397,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,station,50.0,centred_rmse,1.9475535080772655,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,station,100.0,centred_rmse,2.092898989377445,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,station,0.0,mae,1.3722044337162664,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,station,12.5,mae,1.37365578047402,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,station,25.0,mae,1.4028127571085431,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,station,50.0,mae,1.4746428228601192,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,station,100.0,mae,1.588754972486895,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,station,0.0,rmse,1.8301063469966241,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,station,12.5,rmse,1.8319179746590826,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,station,25.0,rmse,1.8681281767700109,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,station,50.0,rmse,1.962930147340557,365
inmet_hourly,era5_forecast,ifs_era5_forecast,era5_initialised,station,100.0,rmse,2.122760234160402,365
inmet_hourly,graphcast_era5,graphcast,era5_initialised,era5,0.0,centred_rmse,0.8149119430291302,365
