network,ladder,model,weighting,support_km,metric,sigma_km,score,n_centres,n_days
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,0.0,mae,0.0,1.543253293219737,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,0.0,mae,12.5,1.5683947636259863,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,0.0,mae,25.0,1.7522306612244558,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,0.0,mae,50.0,1.9396791764578951,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,0.0,mae,100.0,2.232077394748116,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,50.0,mae,0.0,1.1998907549420263,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,50.0,mae,12.5,1.1942967564078522,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,50.0,mae,25.0,1.1873684214638465,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,50.0,mae,50.0,1.3812656054207335,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,50.0,mae,100.0,1.7861711836375167,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,100.0,mae,0.0,1.133461225248206,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,100.0,mae,12.5,1.1077007147867457,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,100.0,mae,25.0,0.9707726370503053,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,100.0,mae,50.0,1.0215025060768066,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,100.0,mae,100.0,1.3988168327603914,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,200.0,mae,0.0,1.1995071962307566,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,200.0,mae,12.5,1.164112872042207,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,200.0,mae,25.0,0.9513775883859131,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,200.0,mae,50.0,0.8085776451179474,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,200.0,mae,100.0,1.0311867095275793,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,0.0,rmse,0.0,2.1651184356321838,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,0.0,rmse,12.5,2.198004962675262,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,0.0,rmse,25.0,2.4324066015033883,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,0.0,rmse,50.0,2.7045651995958293,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,0.0,rmse,100.0,3.08978942316606,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,50.0,rmse,0.0,1.5677557898841232,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,50.0,rmse,12.5,1.5629007633968586,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,50.0,rmse,25.0,1.581798923746959,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,50.0,rmse,50.0,1.8610670436500099,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,50.0,rmse,100.0,2.350631827845121,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,100.0,rmse,0.0,1.4534397515011488,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,100.0,rmse,12.5,1.423254261710771,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,100.0,rmse,25.0,1.231677235445211,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,100.0,rmse,50.0,1.3108302686607125,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,100.0,rmse,100.0,1.772665093836175,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,200.0,rmse,0.0,1.5381069148630262,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,200.0,rmse,12.5,1.4984428665497247,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,200.0,rmse,25.0,1.2247802243493864,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,200.0,rmse,50.0,1.0348270780853555,37,365
inmet_hourly,prospective_common,graphcast_hres_init,gaussian,200.0,rmse,100.0,1.2980421383147163,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,0.0,mae,0.0,1.543253293219737,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,0.0,mae,12.5,1.5683947636259863,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,0.0,mae,25.0,1.7522306612244558,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,0.0,mae,50.0,1.9396791764578951,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,0.0,mae,100.0,2.232077394748116,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,50.0,mae,0.0,1.2711567620782789,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,50.0,mae,12.5,1.2499635837282383,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,50.0,mae,25.0,1.114564196609929,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,50.0,mae,50.0,1.2301231179957421,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,50.0,mae,100.0,1.6275432634168052,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,100.0,mae,0.0,1.2244285067524014,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,100.0,mae,12.5,1.1917474875545313,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,100.0,mae,25.0,1.0149606246893161,37,365
inmet_hourly,prospective_common,graphcast_hres_init,uniform,100.0,mae,50.0,0.9430962377853062,37,365
