network,ladder,model,draw,support_km,metric,stations_kept,optimal_sigma_km,n_centres
inmet_hourly,prospective_common,graphcast_hres_init,0,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,0,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,0,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,0,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,1,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,1,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,1,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,1,200.0,mae,3,100.0,37
inmet_hourly,prospective_common,graphcast_hres_init,2,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,2,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,2,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,2,200.0,mae,3,100.0,37
inmet_hourly,prospective_common,graphcast_hres_init,3,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,3,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,3,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,3,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,4,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,4,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,4,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,4,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,5,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,5,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,5,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,5,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,6,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,6,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,6,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,6,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,7,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,7,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,7,100.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,7,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,8,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,8,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,8,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,8,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,9,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,9,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,9,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,9,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,10,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,10,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,10,100.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,10,200.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,11,0.0,mae,1,0.0,37
inmet_hourly,prospective_common,graphcast_hres_init,11,50.0,mae,3,25.0,37
inmet_hourly,prospective_common,graphcast_hres_init,11,100.0,mae,3,50.0,37
inmet_hourly,prospective_common,graphcast_hres_init,11,200.0,mae,3,50.0,37
