network,model,reference,sigma_km,mse_c2,bias_c,bias_squared_c2,centred_mse_c2
inmet_hourly,era5_forecast,era5,0.0,1.0177967463141568,-0.04128861152347537,0.0017047494415364632,1.0160919968726203
inmet_hourly,era5_forecast,era5,12.5,1.0131627813963473,-0.0391193416298921,0.001530322889556209,1.011632458506791
inmet_hourly,era5_forecast,era5,25.0,1.034911839896733,-0.02868179221664011,0.0008226452047585172,1.0340891946919744
inmet_hourly,era5_forecast,era5,50.0,1.253283849942633,0.010395089263684466,0.00010805788079996806,1.2531757920618332
inmet_hourly,era5_forecast,era5,100.0,1.7627491099440211,0.11998322573374007,0.014395974457473626,1.7483531354865476
inmet_hourly,era5_forecast,station,0.0,3.349289241317328,0.19353068809399337,0.03745412723413455,3.3118351140831934
inmet_hourly,era5_forecast,station,12.5,3.355923465879035,0.19569995798757667,0.03829847355633927,3.317624992322696
inmet_hourly,era5_forecast,station,25.0,3.4899028848420452,0.20613750740082865,0.04249267195742668,3.4474102128846185
inmet_hourly,era5_forecast,station,50.0,3.853094763338421,0.24521438888115318,0.06013009651435742,3.7929646668240635
inmet_hourly,era5_forecast,station,100.0,4.506111011732725,0.35480252535120876,0.12588483199559514,4.38022617973713
inmet_hourly,graphcast_era5,era5,0.0,0.7087115585300273,0.2112583338912695,0.0446300836385151,0.6640814748915123
inmet_hourly,graphcast_era5,era5,12.5,0.7105263154859514,0.21402636026849678,0.04580728288978038,0.6647190325961709
inmet_hourly,graphcast_era5,era5,25.0,0.7656397691865398,0.22498637366299337,0.05061886833402408,0.7150209008525157
inmet_hourly,graphcast_era5,era5,50.0,1.0333672640757694,0.2578332638119321,0.06647799192791339,0.966889272147856
inmet_hourly,graphcast_era5,era5,100.0,1.6299426713147125,0.3511384350394213,0.12329820056193391,1.5066444707527786
inmet_hourly,graphcast_era5,station,0.0,3.0980285503673306,0.4460776335087383,0.19898525511675624,2.8990432952505745
inmet_hourly,graphcast_era5,station,12.5,3.1155946662426426,0.4488456598859655,0.2014624263984678,2.9141322398441747
inmet_hourly,graphcast_era5,station,25.0,3.3304307740336365,0.4598056732804622,0.21142125718089913,3.119009516852737
