lead_h,sensitivity,block_days,n_common_cases,n_stations,n_daily_blocks,avamet_winner,era5_winner,p_winners_differ,primary_effect_c,primary_effect_ci_low_c,primary_effect_ci_high_c,primary_pair_reversal_probability
24,lapse_rate_5_K_per_km_all_stations,1,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,-0.16268083223008317,-0.1830273480618002,-0.14185143545106876,1.0
24,lapse_rate_5_K_per_km_all_stations,3,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,-0.16252247074514434,-0.18713735408093302,-0.13976326837270986,1.0
24,lapse_rate_5_K_per_km_all_stations,5,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,-0.1627902796384017,-0.1864912102146743,-0.13920562052141058,1.0
24,lapse_rate_5_K_per_km_all_stations,7,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,-0.16225388356929693,-0.18677065209964117,-0.13828449365461376,1.0
24,lapse_rate_6.5_K_per_km_all_stations,1,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,-0.16421183757822316,-0.18421204743901476,-0.14416701812925642,1.0
24,lapse_rate_6.5_K_per_km_all_stations,3,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,-0.16430262398717624,-0.18855812500556793,-0.1417348141785281,1.0
24,lapse_rate_6.5_K_per_km_all_stations,5,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,-0.164325469394817,-0.18836105209759732,-0.1403591085889487,1.0
24,lapse_rate_6.5_K_per_km_all_stations,7,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,-0.16431515700782007,-0.1890832533330423,-0.13958782468556355,1.0
24,lapse_rate_8_K_per_km_all_stations,1,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,-0.16459157596054882,-0.18521355826704683,-0.1437185921566199,1.0
24,lapse_rate_8_K_per_km_all_stations,3,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,-0.16482156433066086,-0.18864620829182246,-0.1413039755510856,1.0
24,lapse_rate_8_K_per_km_all_stations,5,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,-0.16450445757447862,-0.18954599663058624,-0.14071541729194642,1.0
24,lapse_rate_8_K_per_km_all_stations,7,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,-0.16453660758092156,-0.19016111648913878,-0.13910636543574167,1.0
24,raw_abs_delta_z_lt_100m,1,53554,76,363,graphcast_hres_init,pangu_hres_init,1.0,-0.1558682585709229,-0.17425056187320026,-0.1371441158078685,1.0
24,raw_abs_delta_z_lt_100m,3,53554,76,363,graphcast_hres_init,pangu_hres_init,1.0,-0.15639151209029212,-0.17721728118070257,-0.1360958187193855,1.0
24,raw_abs_delta_z_lt_100m,5,53554,76,363,graphcast_hres_init,pangu_hres_init,1.0,-0.15568316118408962,-0.17676975134221032,-0.13400673594225854,1.0
24,raw_abs_delta_z_lt_100m,7,53554,76,363,graphcast_hres_init,pangu_hres_init,1.0,-0.15571953496223112,-0.1778915312791571,-0.13474875845688158,1.0
24,raw_abs_delta_z_lt_200m,1,88724,126,363,graphcast_hres_init,pangu_hres_init,1.0,-0.12563762853978266,-0.1420492640473525,-0.10826285943173788,1.0
24,raw_abs_delta_z_lt_200m,3,88724,126,363,graphcast_hres_init,pangu_hres_init,1.0,-0.12566441325429975,-0.1447282328332597,-0.10668514059129772,1.0
24,raw_abs_delta_z_lt_200m,5,88724,126,363,graphcast_hres_init,pangu_hres_init,1.0,-0.12572361378743796,-0.14524297682619622,-0.10612768238376476,1.0
24,raw_abs_delta_z_lt_200m,7,88724,126,363,graphcast_hres_init,pangu_hres_init,1.0,-0.1252877406215873,-0.14478500178965856,-0.10513688330704647,1.0
24,raw_abs_delta_z_lt_50m,1,26757,38,363,graphcast_hres_init,pangu_hres_init,1.0,-0.13376046048802206,-0.15139486308939726,-0.11668948259695094,1.0
24,raw_abs_delta_z_lt_50m,3,26757,38,363,graphcast_hres_init,pangu_hres_init,1.0,-0.13394081429956442,-0.15428623900661576,-0.11298611966223467,1.0
24,raw_abs_delta_z_lt_50m,5,26757,38,363,graphcast_hres_init,pangu_hres_init,1.0,-0.13367086226992445,-0.15453624839059046,-0.11239695940800133,1.0
24,raw_abs_delta_z_lt_50m,7,26757,38,363,graphcast_hres_init,pangu_hres_init,1.0,-0.13412528926931958,-0.15593636810310813,-0.11251829994642563,1.0
24,raw_all_stations,1,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,-0.1444081141566419,-0.16363786827888274,-0.12685619511527993,1.0
24,raw_all_stations,3,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,-0.14442405465234345,-0.16518163039265527,-0.12341809835856339,1.0
24,raw_all_stations,5,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,-0.1445969299580164,-0.1672778807218494,-0.12187281185850528,1.0
24,raw_all_stations,7,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,-0.1446801890654484,-0.16745955293862255,-0.1215502062188434,1.0
48,lapse_rate_5_K_per_km_all_stations,1,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.19004438804000012,-0.21459025808741633,-0.16694569609566529,1.0
48,lapse_rate_5_K_per_km_all_stations,3,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.1896149371714261,-0.2169599631064137,-0.1632061384436499,1.0
48,lapse_rate_5_K_per_km_all_stations,5,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.190034098325328,-0.21735039084130228,-0.16243286547228059,1.0
48,lapse_rate_5_K_per_km_all_stations,7,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.19024766857458209,-0.21636437050809992,-0.1623105805529584,1.0
48,lapse_rate_6.5_K_per_km_all_stations,1,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.19420289901152427,-0.22068976186684905,-0.1696963008005777,1.0
48,lapse_rate_6.5_K_per_km_all_stations,3,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.19436372231221516,-0.22243695337292702,-0.16592353296430948,1.0
48,lapse_rate_6.5_K_per_km_all_stations,5,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.19474102699664994,-0.2227044158456951,-0.1675382626705674,1.0
48,lapse_rate_6.5_K_per_km_all_stations,7,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.195042985483986,-0.22385405511318474,-0.1670334830678468,1.0
48,lapse_rate_8_K_per_km_all_stations,1,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.1972839358641115,-0.22209757518061066,-0.17316983816524165,1.0
48,lapse_rate_8_K_per_km_all_stations,3,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.19757755472056948,-0.22687632608518535,-0.1688663686746015,1.0
48,lapse_rate_8_K_per_km_all_stations,5,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.19757469598283808,-0.2274230822740415,-0.167962330573046,1.0
48,lapse_rate_8_K_per_km_all_stations,7,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,-0.19772278605163868,-0.22874599274000182,-0.1684812779773335,1.0
48,raw_abs_delta_z_lt_100m,1,53408,76,362,graphcast_hres_init,pangu_hres_init,1.0,-0.19564230347951805,-0.21786939355538054,-0.17386521956582598,1.0
48,raw_abs_delta_z_lt_100m,3,53408,76,362,graphcast_hres_init,pangu_hres_init,1.0,-0.19522450558865048,-0.2184583558232783,-0.17027848189688308,1.0
