lead_h,sensitivity,block_days,reference,model,n_common_cases,n_stations,n_daily_blocks,mae_c_day_weighted,mae_ci_low_c,mae_ci_high_c,winner_probability,mae_rank
24,lapse_rate_5_K_per_km_all_stations,1,avamet,graphcast_hres_init,102976,146,363,1.471513374190535,1.4402434197532743,1.5034762510436521,1.0,1
24,lapse_rate_5_K_per_km_all_stations,1,avamet,pangu_hres_init,102976,146,363,1.5612877507031877,1.5253898342703758,1.5991045670165478,0.0,2
24,lapse_rate_5_K_per_km_all_stations,1,avamet,ifs_hres,102976,146,363,1.5717660353516187,1.5402274341678588,1.6055422918087998,0.0,3
24,lapse_rate_5_K_per_km_all_stations,1,era5_station,pangu_hres_init,102976,146,363,0.8615041657776651,0.8379919509019315,0.885014580807396,1.0,1
24,lapse_rate_5_K_per_km_all_stations,1,era5_station,graphcast_hres_init,102976,146,363,0.9342771396841917,0.91024374868225,0.9562844468570524,0.0,2
24,lapse_rate_5_K_per_km_all_stations,1,era5_station,ifs_hres,102976,146,363,1.1581661876510214,1.1275356647078636,1.1873054308884323,0.0,3
24,lapse_rate_5_K_per_km_all_stations,3,avamet,graphcast_hres_init,102976,146,363,1.471513374190535,1.4294121587944892,1.5159624819057989,1.0,1
24,lapse_rate_5_K_per_km_all_stations,3,avamet,pangu_hres_init,102976,146,363,1.5612877507031877,1.5150378738285948,1.6110282205020596,0.0,2
24,lapse_rate_5_K_per_km_all_stations,3,avamet,ifs_hres,102976,146,363,1.5717660353516187,1.5266737718860037,1.619195865607426,0.0,3
24,lapse_rate_5_K_per_km_all_stations,3,era5_station,pangu_hres_init,102976,146,363,0.8615041657776651,0.8342475937198494,0.8886790508380411,1.0,1
24,lapse_rate_5_K_per_km_all_stations,3,era5_station,graphcast_hres_init,102976,146,363,0.9342771396841917,0.9072219943535235,0.9619101500084619,0.0,2
24,lapse_rate_5_K_per_km_all_stations,3,era5_station,ifs_hres,102976,146,363,1.1581661876510214,1.1212146252723292,1.1974531289674974,0.0,3
24,lapse_rate_5_K_per_km_all_stations,5,avamet,graphcast_hres_init,102976,146,363,1.471513374190535,1.4256089370472866,1.5199605524355988,1.0,1
24,lapse_rate_5_K_per_km_all_stations,5,avamet,pangu_hres_init,102976,146,363,1.5612877507031877,1.5081651512771317,1.615290632506831,0.0,2
24,lapse_rate_5_K_per_km_all_stations,5,avamet,ifs_hres,102976,146,363,1.5717660353516187,1.5218195630494644,1.6243788138246382,0.0,3
24,lapse_rate_5_K_per_km_all_stations,5,era5_station,pangu_hres_init,102976,146,363,0.8615041657776651,0.8308736559941263,0.8915299665322058,1.0,1
24,lapse_rate_5_K_per_km_all_stations,5,era5_station,graphcast_hres_init,102976,146,363,0.9342771396841917,0.9047372508604153,0.9640385463429071,0.0,2
24,lapse_rate_5_K_per_km_all_stations,5,era5_station,ifs_hres,102976,146,363,1.1581661876510214,1.1183918727753694,1.204201995061242,0.0,3
