lead_h,station_id,station_effect_c,n_common_cases,n_daily_blocks,latitude,longitude,altitude_m,era5_grid_elevation_m,delta_z_m,abs_delta_z_m,coast_stratum
24,c01m080e01,-0.33524705500314167,723,362,40.619,-0.1,980.0,886.3688260963359,93.63117390366416,93.63117390366416,interior_gt25km
24,c01m080e03,-0.009741705739463202,694,363,40.6194085,-0.1327258,766.0,904.8264905073412,-138.8264905073413,138.8264905073413,interior_gt25km
24,c01m091e01,-0.22737568757286053,721,362,40.5325,-0.2625,1074.0,1066.999730113776,7.000269886224032,7.000269886224032,interior_gt25km
24,c01m127e01,-0.25516116717579296,725,363,40.6032437,0.0459578,644.0,704.758949806194,-60.75894980619398,60.75894980619398,interior_gt25km
24,c02m042e03,-0.1637313538515821,665,348,40.505278,-0.000278,934.0,942.9169975643468,-8.91699756434673,8.91699756434673,interior_gt25km
24,c02m051e03,-0.35321705211056487,676,340,40.326729,-0.166699,1058.0,862.6968443420666,195.30315565793344,195.30315565793344,interior_gt25km
24,c03m052e02,-0.10321026501493002,724,363,40.52158009,0.15938222,447.0,544.5332809925904,-97.53328099259043,97.53328099259043,interior_gt25km
24,c03m093e04,-0.9973183892818231,723,362,40.690059,0.084398,1231.0,675.9463000232385,555.0536999767615,555.0536999767615,interior_gt25km
24,c03m121e01,-0.05456013814374483,724,363,40.522786,0.288061,268.0,378.8990670189002,-110.8990670189002,110.8990670189002,coast_0_25km
24,c04m005e01,0.03334725640498026,705,353,40.071606,-0.207666,248.0,496.8423800573243,-248.8423800573243,248.8423800573243,coast_0_25km
24,c04m055e02,-0.26146224118072114,721,363,40.245017,-0.286419,1074.0,911.0479435554564,162.9520564445437,162.9520564445437,interior_gt25km
24,c04m122e01,0.1636793042489043,722,362,40.157251,-0.162724,401.0,603.8349029000294,-202.83490290002945,202.83490290002945,coast_0_25km
24,c05m028e04,0.5195010026936159,685,354,40.034167,0.038611,7.0,151.8512793004661,-144.8512793004661,144.8512793004661,coast_0_25km
24,c05m031e04,-0.018568195415022082,725,363,40.0149498,-0.1204551,176.0,286.2340962606133,-110.23409626061328,110.23409626061328,coast_0_25km
24,c05m040e13,0.10354520215944452,714,358,39.985905,-0.029754,22.0,139.75491994444323,-117.75491994444324,117.75491994444324,coast_0_25km
24,c05m041e09,0.02844669498140945,725,363,39.89845081,0.68438656,42.0,6.447863718134417,35.552136281865586,35.552136281865586,interior_gt25km
24,c05m050e01,-0.031990756615444815,717,363,40.311389,0.121111,186.0,371.7092997877576,-185.70929978775763,185.70929978775763,coast_0_25km
24,c05m105e08,-0.04566525229126417,725,363,40.269972,-0.019722,744.0,640.5442302413998,103.45576975860024,103.45576975860024,coast_0_25km
24,c05m105e09,0.08036587990009525,725,363,40.22781,-0.077847,314.0,637.8509272784383,-323.85092727843835,323.85092727843835,coast_0_25km
24,c05m128e02,-0.000913669136369033,725,363,40.114498,-0.054284,350.0,395.5242354531898,-45.52423545318982,45.52423545318982,coast_0_25km
24,c06m002e01,-0.1078455595428075,725,363,39.901444,-0.341073,510.0,413.8620090847212,96.1379909152788,96.1379909152788,coast_0_25km
24,c06m021e02,0.052894291852080944,724,363,39.92835,-0.197211,98.0,286.6964332846926,-188.6964332846926,188.6964332846926,coast_0_25km
24,c06m057e02,-0.0773782970769199,720,362,39.8830127,-0.3093108,342.0,360.7472846318784,-18.74728463187836,18.74728463187836,coast_0_25km
24,c06m901e02,0.0015683709544449531,705,354,39.8978,-0.115,25.0,173.47209628798493,-148.47209628798493,148.47209628798493,coast_0_25km
24,c07m056e01,-0.06045440681946235,666,348,39.8489,-0.3253,390.0,339.7043964232446,50.29560357675541,50.29560357675541,coast_0_25km
24,c07m114e01,-0.16404453522732254,725,363,39.919983,-0.687305,773.0,809.4290047754681,-36.42900477546812,36.42900477546812,interior_gt25km
24,c07m115e01,-0.355222583877554,708,363,39.981644,-0.745977,1000.0,965.7343764399172,34.26562356008276,34.26562356008276,interior_gt25km
24,c07m115e03,-0.569477391723338,686,358,39.96057,-0.77994,1194.0,952.7636157592924,241.2363842407077,241.2363842407077,interior_gt25km
24,c08m131e01,-0.18961749473638223,701,351,39.964246,-0.394551,637.0,545.7644973256868,91.23550267431324,91.23550267431324,interior_gt25km
24,c09m201e01,-0.1004948288388573,725,363,40.044336,-1.141663,1110.0,1146.239221927403,-36.23922192740292,36.23922192740292,interior_gt25km
24,c10m036e01,-0.16443867978736948,701,352,39.885172,-1.014398,960.0,979.943658133569,-19.943658133568988,19.943658133568988,interior_gt25km
24,c10m106e01,0.1502776927895918,710,360,39.747778,-0.99916666,470.0,826.7662011075266,-356.7662011075266,356.7662011075266,interior_gt25km
24,c10m241e01,-0.029250885420981865,725,363,39.8667,-1.0836,826.0,980.5954559458364,-154.59545594583642,154.59545594583642,interior_gt25km
24,c11m070e03,0.06463533794641407,663,340,39.593094,-0.464074,91.0,241.4276861273687,-150.4276861273687,150.4276861273687,coast_0_25km
24,c11m116e02,0.00036895742638043405,725,363,39.564861,-0.528879,100.0,271.0874254858887,-171.08742548588867,171.08742548588867,coast_0_25km
24,c11m256e02,0.11520629647185199,712,360,39.56562,-0.623345,111.0,355.35966222401373,-244.35966222401373,244.35966222401373,interior_gt25km
24,c11m902e01,-0.0894855219188142,725,363,39.769479,-0.5206089,578.0,420.5343652445857,157.46563475541427,157.46563475541427,interior_gt25km
24,c13m009e01,-0.0341756536160337,717,359,39.543711,-0.346781,10.0,138.1003142088098,-128.1003142088098,128.1003142088098,coast_0_25km
24,c15m250e15,-0.01678350327716327,713,357,39.476774,-0.390072,19.0,133.2430011771812,-114.2430011771812,114.2430011771812,coast_0_25km
24,c15m250e16,-0.30503387854075137,721,362,39.3591,-0.347,1.0,79.71119469058077,-78.71119469058077,78.71119469058077,coast_0_25km
24,c15m250e24,-0.043270947635036916,716,359,39.4754526,-0.37635905,25.0,125.1956495398714,-100.1956495398714,100.1956495398714,coast_0_25km
24,c15m250e26,-0.13560129185241276,714,362,39.458332,-0.350283,7.0,106.2561167252617,-99.2561167252617,99.2561167252617,coast_0_25km
24,c17m095e02,-0.09159793058042609,670,337,39.55911,-1.280302,771.0,768.6403501700389,2.3596498299610857,2.3596498299610857,interior_gt25km
24,c17m129e01,-0.008855534539369492,709,355,39.585544,-1.364369,880.0,804.3888776363823,75.61112236361771,75.61112236361771,interior_gt25km
24,c17m213e03,-0.3806768614175263,719,360,39.488611,-1.080833,725.0,660.8646236231089,64.13537637689114,64.13537637689114,interior_gt25km
