draw,reference,model,mae_c_day_weighted
0,era5_station,ifs_hres,1.1692999892022613
0,era5_station,graphcast_hres_init,0.9529610162063625
0,era5_station,pangu_hres_init,0.8823743753952165
1,era5_station,ifs_hres,1.1915694881171182
1,era5_station,graphcast_hres_init,0.9644537088437612
1,era5_station,pangu_hres_init,0.8835664298786746
2,era5_station,ifs_hres,1.2046693397749964
2,era5_station,graphcast_hres_init,0.9812397496521998
2,era5_station,pangu_hres_init,0.9044041002638862
3,era5_station,ifs_hres,1.168004381928588
3,era5_station,graphcast_hres_init,0.9561722551560905
3,era5_station,pangu_hres_init,0.8919320406332043
4,era5_station,ifs_hres,1.1711238508705775
4,era5_station,graphcast_hres_init,0.9431383884995157
4,era5_station,pangu_hres_init,0.8994542662928616
5,era5_station,ifs_hres,1.1641750312799601
5,era5_station,graphcast_hres_init,0.9429792018761955
5,era5_station,pangu_hres_init,0.8928959352993537
6,era5_station,ifs_hres,1.1822164601554157
6,era5_station,graphcast_hres_init,0.959942656362823
6,era5_station,pangu_hres_init,0.8960656449190791
7,era5_station,ifs_hres,1.1722856149549883
7,era5_station,graphcast_hres_init,0.9547943344766769
7,era5_station,pangu_hres_init,0.911326864987809
8,era5_station,ifs_hres,1.1629530266967059
8,era5_station,graphcast_hres_init,0.9630880785402172
8,era5_station,pangu_hres_init,0.9115128857611839
9,era5_station,ifs_hres,1.1983210508744766
9,era5_station,graphcast_hres_init,0.9733898415804203
9,era5_station,pangu_hres_init,0.9040820566241778
10,era5_station,ifs_hres,1.1903380366294585
10,era5_station,graphcast_hres_init,0.9469523938185679
10,era5_station,pangu_hres_init,0.8943962550155357
11,era5_station,ifs_hres,1.178116904588919
11,era5_station,graphcast_hres_init,0.9504219941680473
11,era5_station,pangu_hres_init,0.894349160424556
12,era5_station,ifs_hres,1.1600848738089216
12,era5_station,graphcast_hres_init,0.9406568122057672
12,era5_station,pangu_hres_init,0.8914954661385136
13,era5_station,ifs_hres,1.1868233839083762
13,era5_station,graphcast_hres_init,0.9596645504347742
13,era5_station,pangu_hres_init,0.8885550910360919
14,era5_station,ifs_hres,1.1867794043779467
14,era5_station,graphcast_hres_init,0.9571056673726974
14,era5_station,pangu_hres_init,0.8893529760669278
15,era5_station,ifs_hres,1.1863912644511454
15,era5_station,graphcast_hres_init,0.9601353182783804
15,era5_station,pangu_hres_init,0.9050643147096887
16,era5_station,ifs_hres,1.167096952114547
16,era5_station,graphcast_hres_init,0.9499852948494678
16,era5_station,pangu_hres_init,0.8945590308130369
17,era5_station,ifs_hres,1.1644222223116825
17,era5_station,graphcast_hres_init,0.950456585556762
17,era5_station,pangu_hres_init,0.9022058476453216
18,era5_station,ifs_hres,1.1818485943269694
18,era5_station,graphcast_hres_init,0.9680319261499083
18,era5_station,pangu_hres_init,0.8935360510418612
19,era5_station,ifs_hres,1.1750305699197099
19,era5_station,graphcast_hres_init,0.9637841875908282
19,era5_station,pangu_hres_init,0.9087030192580936
