unit,extraction,stratum,block_days,model_a,model_b,era5_delta_mae_a_minus_b_c,avamet_delta_mae_a_minus_b_c,avamet_minus_era5_delta_mae_c,switch_ci_low_c,switch_ci_high_c,p_switch_gt_zero,p_pairwise_order_reverses,lead_h
cell_aggregate,nearest,dense_4_plus,1,graphcast_hres_init,pangu_hres_init,0.015508115291595459,-0.0905399201887378,-0.10648453592103103,-0.1283758910662636,-0.08431921542009037,0.0,0.8955,24
cell_aggregate,nearest,dense_4_plus,1,ifs_hres,graphcast_hres_init,0.27858197689056396,0.1871005078493717,-0.09137385601204401,-0.11715592438038282,-0.066392774808301,0.0,0.0,24
cell_aggregate,nearest,dense_4_plus,1,ifs_hres,pangu_hres_init,0.2940900921821594,0.09656058766063391,-0.19785839193307503,-0.2280648004279995,-0.16723319861453595,0.0,0.0,24
cell_aggregate,nearest,dense_4_plus,3,graphcast_hres_init,pangu_hres_init,0.015508115291595459,-0.0905399201887378,-0.10578047160330768,-0.13218066864048522,-0.07989949838905021,0.0,0.859,24
cell_aggregate,nearest,dense_4_plus,3,ifs_hres,graphcast_hres_init,0.27858197689056396,0.1871005078493717,-0.09201824622819169,-0.11982280353265877,-0.06523379614787343,0.0,0.0,24
cell_aggregate,nearest,dense_4_plus,3,ifs_hres,pangu_hres_init,0.2940900921821594,0.09656058766063391,-0.19779871783149935,-0.23015716374523748,-0.16511331728452744,0.0,0.0,24
cell_aggregate,nearest,dense_4_plus,5,graphcast_hres_init,pangu_hres_init,0.015508115291595459,-0.0905399201887378,-0.10616621333850373,-0.1321266959608799,-0.07956767505943514,0.0,0.837,24
cell_aggregate,nearest,dense_4_plus,5,ifs_hres,graphcast_hres_init,0.27858197689056396,0.1871005078493717,-0.09180615842290356,-0.12008553168013873,-0.0629027711173664,0.0,0.0,24
cell_aggregate,nearest,dense_4_plus,5,ifs_hres,pangu_hres_init,0.2940900921821594,0.09656058766063391,-0.1979723717614073,-0.2310905476996248,-0.16483556310303252,0.0,0.0,24
cell_aggregate,nearest,dense_4_plus,7,graphcast_hres_init,pangu_hres_init,0.015508115291595459,-0.0905399201887378,-0.10631539189941216,-0.133371324176411,-0.08014973290115442,0.0,0.8285,24
cell_aggregate,nearest,dense_4_plus,7,ifs_hres,graphcast_hres_init,0.27858197689056396,0.1871005078493717,-0.09129617571898804,-0.12038801652785269,-0.061980363142167004,0.0,0.0,24
cell_aggregate,nearest,dense_4_plus,7,ifs_hres,pangu_hres_init,0.2940900921821594,0.09656058766063391,-0.1976115676184002,-0.23345577577605262,-0.16268774928649465,0.0,0.0,24
cell_aggregate,nearest,multi_station_cells,1,graphcast_hres_init,pangu_hres_init,0.02644503116607666,-0.09493394705314939,-0.12115176342581077,-0.14112390285573134,-0.1016279431034251,0.0,0.9855,24
cell_aggregate,nearest,multi_station_cells,1,ifs_hres,graphcast_hres_init,0.26086366176605225,0.16642187320269874,-0.09436975767764968,-0.1125805761539076,-0.07612863208488645,0.0,0.0,24
cell_aggregate,nearest,multi_station_cells,1,ifs_hres,pangu_hres_init,0.2873086929321289,0.07148792614954935,-0.21552152110346046,-0.2429040529173914,-0.18973062470040505,0.0,0.0,24
cell_aggregate,nearest,multi_station_cells,3,graphcast_hres_init,pangu_hres_init,0.02644503116607666,-0.09493394705314939,-0.12134677199853716,-0.14299240467112878,-0.10010950542712471,0.0,0.975,24
cell_aggregate,nearest,multi_station_cells,3,ifs_hres,graphcast_hres_init,0.26086366176605225,0.16642187320269874,-0.09478307095557773,-0.11555502387797581,-0.07491727101273639,0.0,0.0,24
cell_aggregate,nearest,multi_station_cells,3,ifs_hres,pangu_hres_init,0.2873086929321289,0.07148792614954935,-0.21612984295411491,-0.2444355465702485,-0.18826600129302806,0.0,0.0,24
cell_aggregate,nearest,multi_station_cells,5,graphcast_hres_init,pangu_hres_init,0.02644503116607666,-0.09493394705314939,-0.12160445919713565,-0.1458300779141991,-0.09829794901617155,0.0,0.965,24
cell_aggregate,nearest,multi_station_cells,5,ifs_hres,graphcast_hres_init,0.26086366176605225,0.16642187320269874,-0.09424222928995672,-0.11540987492242288,-0.074512893204008,0.0,0.0,24
cell_aggregate,nearest,multi_station_cells,5,ifs_hres,pangu_hres_init,0.2873086929321289,0.07148792614954935,-0.2158466884870924,-0.248041416702466,-0.1854638507791114,0.0,0.0,24
cell_aggregate,nearest,multi_station_cells,7,graphcast_hres_init,pangu_hres_init,0.02644503116607666,-0.09493394705314939,-0.12139401724919134,-0.14639018006387497,-0.09660705001665745,0.0,0.953,24
cell_aggregate,nearest,multi_station_cells,7,ifs_hres,graphcast_hres_init,0.26086366176605225,0.16642187320269874,-0.09394058148995343,-0.11548721563611096,-0.07457539036995993,0.0,0.0,24
cell_aggregate,nearest,multi_station_cells,7,ifs_hres,pangu_hres_init,0.2873086929321289,0.07148792614954935,-0.2153345987391448,-0.2473125261941658,-0.18473368711459365,0.0,0.0,24
cell_aggregate,nearest,sparse_2_3,1,graphcast_hres_init,pangu_hres_init,0.035651564598083496,-0.09880722407457099,-0.13443862615633925,-0.16112069288404895,-0.11001957105303044,0.0,0.992,24
cell_aggregate,nearest,sparse_2_3,1,ifs_hres,graphcast_hres_init,0.24685490131378174,0.14906877784311745,-0.09784388696266229,-0.12021470165933922,-0.0753713336654229,0.0,0.0,24
cell_aggregate,nearest,sparse_2_3,1,ifs_hres,pangu_hres_init,0.28250646591186523,0.05026155376854646,-0.2322825131190015,-0.26417813654977507,-0.2013493650778783,0.0,0.001,24
cell_aggregate,nearest,sparse_2_3,3,graphcast_hres_init,pangu_hres_init,0.035651564598083496,-0.09880722407457099,-0.13422296169984083,-0.1612631291464931,-0.10894206719786702,0.0,0.984,24
cell_aggregate,nearest,sparse_2_3,3,ifs_hres,graphcast_hres_init,0.24685490131378174,0.14906877784311745,-0.09743453028816382,-0.1239543501286474,-0.07108619145243815,0.0,0.0,24
cell_aggregate,nearest,sparse_2_3,3,ifs_hres,pangu_hres_init,0.28250646591186523,0.05026155376854646,-0.23165749198800462,-0.2674876065536709,-0.19640725431682152,0.0,0.0025,24
cell_aggregate,nearest,sparse_2_3,5,graphcast_hres_init,pangu_hres_init,0.035651564598083496,-0.09880722407457099,-0.13416540825714493,-0.16355204831165243,-0.10448558949372007,0.0,0.976,24
cell_aggregate,nearest,sparse_2_3,5,ifs_hres,graphcast_hres_init,0.24685490131378174,0.14906877784311745,-0.09785125089090664,-0.12769370913133507,-0.06982565804938412,0.0,0.0,24
cell_aggregate,nearest,sparse_2_3,5,ifs_hres,pangu_hres_init,0.28250646591186523,0.05026155376854646,-0.23201665914805156,-0.27404413630709085,-0.19098498759703827,0.0,0.0065,24
cell_aggregate,nearest,sparse_2_3,7,graphcast_hres_init,pangu_hres_init,0.035651564598083496,-0.09880722407457099,-0.13484808785876867,-0.16560437296595518,-0.10473386066582985,0.0,0.9715,24
cell_aggregate,nearest,sparse_2_3,7,ifs_hres,graphcast_hres_init,0.24685490131378174,0.14906877784311745,-0.09730997700049175,-0.12978052684723634,-0.06723520105672948,0.0,0.0,24
cell_aggregate,nearest,sparse_2_3,7,ifs_hres,pangu_hres_init,0.28250646591186523,0.05026155376854646,-0.23215806485926044,-0.27690458419425534,-0.19069903403166544,0.0,0.0085,24
station,bilinear,all_eligible,1,graphcast_hres_init,pangu_hres_init,0.07277297390652593,-0.0715898499347487,-0.14441457495789922,-0.16333990236880794,-0.12639625139728045,0.0,1.0,24
station,bilinear,all_eligible,1,ifs_hres,graphcast_hres_init,0.22388904796683173,0.08483805289113566,-0.13911336952104053,-0.15809435507608063,-0.12028725257271776,0.0,0.0,24
station,bilinear,all_eligible,1,ifs_hres,pangu_hres_init,0.29666202187335766,0.013248202956386956,-0.28352794447893986,-0.30883681765053195,-0.2594481220592191,0.0,0.122,24
station,bilinear,all_eligible,3,graphcast_hres_init,pangu_hres_init,0.07277297390652593,-0.0715898499347487,-0.1445077165586627,-0.1656866973230722,-0.12326812019741396,0.0,1.0,24
station,bilinear,all_eligible,3,ifs_hres,graphcast_hres_init,0.22388904796683173,0.08483805289113566,-0.13929215573917467,-0.16012159007538887,-0.11875059356364435,0.0,0.0,24
station,bilinear,all_eligible,3,ifs_hres,pangu_hres_init,0.29666202187335766,0.013248202956386956,-0.2837998722978374,-0.3109642594602549,-0.25790830302292495,0.0,0.176,24
station,bilinear,all_eligible,5,graphcast_hres_init,pangu_hres_init,0.07277297390652593,-0.0715898499347487,-0.14441352744594912,-0.16653892267224937,-0.1233514574543708,0.0,1.0,24
station,bilinear,all_eligible,5,ifs_hres,graphcast_hres_init,0.22388904796683173,0.08483805289113566,-0.1393497959518926,-0.15966441925411218,-0.11804489178376482,0.0,0.0,24
station,bilinear,all_eligible,5,ifs_hres,pangu_hres_init,0.29666202187335766,0.013248202956386956,-0.28376332339784177,-0.31117168558543007,-0.2570600489983823,0.0,0.196,24
station,bilinear,all_eligible,7,graphcast_hres_init,pangu_hres_init,0.07277297390652593,-0.0715898499347487,-0.14434851941825566,-0.1668248571726454,-0.12118985629703682,0.0,1.0,24
station,bilinear,all_eligible,7,ifs_hres,graphcast_hres_init,0.22388904796683173,0.08483805289113566,-0.13863427487847205,-0.1597901898919219,-0.11789675018322117,0.0,0.0,24
station,bilinear,all_eligible,7,ifs_hres,pangu_hres_init,0.29666202187335766,0.013248202956386956,-0.2829827942967277,-0.31012386880751064,-0.2567403707301467,0.0,0.214,24
station,bilinear,dense_4_plus,1,graphcast_hres_init,pangu_hres_init,0.10334814934356573,-0.04795954612140774,-0.1513346801322069,-0.1718505895008119,-0.13070311093401138,0.0,1.0,24
station,bilinear,dense_4_plus,1,ifs_hres,graphcast_hres_init,0.23559851454038028,0.1006548574366255,-0.13483572520543335,-0.15751804417828863,-0.11138777236995763,0.0,0.0,24
station,bilinear,dense_4_plus,1,ifs_hres,pangu_hres_init,0.338946663883946,0.05269531131521776,-0.28617040533764027,-0.31271698651230573,-0.26001382736899614,0.0,0.0005,24
station,bilinear,dense_4_plus,3,graphcast_hres_init,pangu_hres_init,0.10334814934356573,-0.04795954612140774,-0.15140452526731993,-0.17429641690779812,-0.12877209097870157,0.0,1.0,24
station,bilinear,dense_4_plus,3,ifs_hres,graphcast_hres_init,0.23559851454038028,0.1006548574366255,-0.13469871864708338,-0.16037897590758204,-0.11012838732277756,0.0,0.0,24
station,bilinear,dense_4_plus,3,ifs_hres,pangu_hres_init,0.338946663883946,0.05269531131521776,-0.28610324391440334,-0.3148991562786242,-0.258182057900952,0.0,0.0,24
station,bilinear,dense_4_plus,5,graphcast_hres_init,pangu_hres_init,0.10334814934356573,-0.04795954612140774,-0.15145994755579892,-0.17473524950670785,-0.12664651482011685,0.0,1.0,24
station,bilinear,dense_4_plus,5,ifs_hres,graphcast_hres_init,0.23559851454038028,0.1006548574366255,-0.13448451755397967,-0.16048377606725614,-0.10982228547794255,0.0,0.0,24
station,bilinear,dense_4_plus,5,ifs_hres,pangu_hres_init,0.338946663883946,0.05269531131521776,-0.28594446510977856,-0.3157882208392036,-0.256662506304108,0.0,0.0005,24
station,bilinear,dense_4_plus,7,graphcast_hres_init,pangu_hres_init,0.10334814934356573,-0.04795954612140774,-0.15158529541503135,-0.1762439928658573,-0.12684231588755507,0.0,1.0,24
station,bilinear,dense_4_plus,7,ifs_hres,graphcast_hres_init,0.23559851454038028,0.1006548574366255,-0.13452094338656734,-0.16078591892683863,-0.10922506708361103,0.0,0.0,24
station,bilinear,dense_4_plus,7,ifs_hres,pangu_hres_init,0.338946663883946,0.05269531131521776,-0.2861062388015987,-0.31418877880179474,-0.2592594917793497,0.0,0.001,24
station,bilinear,single_station,1,graphcast_hres_init,pangu_hres_init,-0.014702297716248536,-0.14298010646848347,-0.1286712294488845,-0.15808059043164632,-0.09820675061343896,0.0,0.166,24
station,bilinear,single_station,1,ifs_hres,graphcast_hres_init,0.18039105970363312,-0.00296894236202494,-0.1832282239006025,-0.2115791175636509,-0.15320752845767827,0.0,0.632,24
station,bilinear,single_station,1,ifs_hres,pangu_hres_init,0.16568876198738458,-0.1459490488305084,-0.311899453349487,-0.3467005148318628,-0.27461812808963115,0.0,1.0,24
station,bilinear,single_station,3,graphcast_hres_init,pangu_hres_init,-0.014702297716248536,-0.14298010646848347,-0.12808574437940926,-0.1596003409880419,-0.09602304311531674,0.0,0.175,24
station,bilinear,single_station,3,ifs_hres,graphcast_hres_init,0.18039105970363312,-0.00296894236202494,-0.1831652480151746,-0.21864255424832188,-0.14668068295496448,0.0,0.632,24
station,bilinear,single_station,3,ifs_hres,pangu_hres_init,0.16568876198738458,-0.1459490488305084,-0.3112509923945838,-0.35188886531354063,-0.27359270719798184,0.0,1.0,24
station,bilinear,single_station,5,graphcast_hres_init,pangu_hres_init,-0.014702297716248536,-0.14298010646848347,-0.12773490004516283,-0.16233675876361417,-0.09389288955112746,0.0,0.201,24
station,bilinear,single_station,5,ifs_hres,graphcast_hres_init,0.18039105970363312,-0.00296894236202494,-0.18314103404870632,-0.22263045666228404,-0.1434383009792776,0.0,0.637,24
station,bilinear,single_station,5,ifs_hres,pangu_hres_init,0.16568876198738458,-0.1459490488305084,-0.31087593409386916,-0.35447019253031514,-0.2681422752048663,0.0,1.0,24
station,bilinear,single_station,7,graphcast_hres_init,pangu_hres_init,-0.014702297716248536,-0.14298010646848347,-0.1281626261368563,-0.16492104464272656,-0.0918560502999963,0.0,0.1955,24
station,bilinear,single_station,7,ifs_hres,graphcast_hres_init,0.18039105970363312,-0.00296894236202494,-0.18298109395430182,-0.22730457405732896,-0.14163427153144914,0.0,0.625,24
station,bilinear,single_station,7,ifs_hres,pangu_hres_init,0.16568876198738458,-0.1459490488305084,-0.3111437200911581,-0.35840072759171715,-0.26880923082488667,0.0,1.0,24
station,bilinear,sparse_2_3,1,graphcast_hres_init,pangu_hres_init,0.03042625091774165,-0.10247362997131115,-0.13315524762113123,-0.15893002464985784,-0.10742998864277356,0.0,0.9845,24
station,bilinear,sparse_2_3,1,ifs_hres,graphcast_hres_init,0.2121943488284338,0.08235023867612123,-0.12986651161743032,-0.15183099395158528,-0.1077396145959691,0.0,0.0,24
station,bilinear,sparse_2_3,1,ifs_hres,pangu_hres_init,0.24262059974617545,-0.02012339129518992,-0.2630217592385615,-0.2929115314967871,-0.23229029272356863,0.0,0.939,24
station,bilinear,sparse_2_3,3,graphcast_hres_init,pangu_hres_init,0.03042625091774165,-0.10247362997131115,-0.13317241308155026,-0.15996910718085186,-0.10583985251107846,0.0,0.974,24
station,bilinear,sparse_2_3,3,ifs_hres,graphcast_hres_init,0.2121943488284338,0.08235023867612123,-0.1302326373107595,-0.15635279315774242,-0.1055266204644569,0.0,0.0,24
station,bilinear,sparse_2_3,3,ifs_hres,pangu_hres_init,0.24262059974617545,-0.02012339129518992,-0.2634050503923097,-0.2965150609740173,-0.22974886408815456,0.0,0.922,24
station,bilinear,sparse_2_3,5,graphcast_hres_init,pangu_hres_init,0.03042625091774165,-0.10247362997131115,-0.13277857922854838,-0.1620255225530366,-0.10355775513139864,0.0,0.9655,24
station,bilinear,sparse_2_3,5,ifs_hres,graphcast_hres_init,0.2121943488284338,0.08235023867612123,-0.12968568978983316,-0.15890085329924664,-0.1020422838063295,0.0,0.0,24
station,bilinear,sparse_2_3,5,ifs_hres,pangu_hres_init,0.24262059974617545,-0.02012339129518992,-0.2624642690183815,-0.29782143517013365,-0.22662109068883707,0.0,0.8995,24
