unit,extraction,stratum,block_days,n_common_cases,n_units,n_daily_blocks,avamet_winner,era5_winner,p_winners_differ,primary_pair,primary_effect_c,primary_effect_ci_low_c,primary_effect_ci_high_c,primary_pair_reversal_probability,lead_h
cell_aggregate,nearest,dense_4_plus,1,8700,12,363,graphcast_hres_init,pangu_hres_init,0.8955,graphcast_hres_init__minus__pangu_hres_init,-0.10648453592103103,-0.1283758910662636,-0.08431921542009037,0.8955,24
cell_aggregate,nearest,dense_4_plus,3,8700,12,363,graphcast_hres_init,pangu_hres_init,0.859,graphcast_hres_init__minus__pangu_hres_init,-0.10578047160330768,-0.13218066864048522,-0.07989949838905021,0.859,24
cell_aggregate,nearest,dense_4_plus,5,8700,12,363,graphcast_hres_init,pangu_hres_init,0.837,graphcast_hres_init__minus__pangu_hres_init,-0.10616621333850373,-0.1321266959608799,-0.07956767505943514,0.837,24
cell_aggregate,nearest,dense_4_plus,7,8700,12,363,graphcast_hres_init,pangu_hres_init,0.8285,graphcast_hres_init__minus__pangu_hres_init,-0.10631539189941216,-0.133371324176411,-0.08014973290115442,0.8285,24
cell_aggregate,nearest,multi_station_cells,1,19233,27,363,graphcast_hres_init,pangu_hres_init,0.9855,graphcast_hres_init__minus__pangu_hres_init,-0.12115176342581077,-0.14112390285573134,-0.1016279431034251,0.9855,24
cell_aggregate,nearest,multi_station_cells,3,19233,27,363,graphcast_hres_init,pangu_hres_init,0.975,graphcast_hres_init__minus__pangu_hres_init,-0.12134677199853716,-0.14299240467112878,-0.10010950542712471,0.975,24
cell_aggregate,nearest,multi_station_cells,5,19233,27,363,graphcast_hres_init,pangu_hres_init,0.965,graphcast_hres_init__minus__pangu_hres_init,-0.12160445919713565,-0.1458300779141991,-0.09829794901617155,0.965,24
cell_aggregate,nearest,multi_station_cells,7,19233,27,363,graphcast_hres_init,pangu_hres_init,0.953,graphcast_hres_init__minus__pangu_hres_init,-0.12139401724919134,-0.14639018006387497,-0.09660705001665745,0.953,24
cell_aggregate,nearest,sparse_2_3,1,10533,15,363,graphcast_hres_init,pangu_hres_init,0.992,graphcast_hres_init__minus__pangu_hres_init,-0.13443862615633925,-0.16112069288404895,-0.11001957105303044,0.992,24
cell_aggregate,nearest,sparse_2_3,3,10533,15,363,graphcast_hres_init,pangu_hres_init,0.984,graphcast_hres_init__minus__pangu_hres_init,-0.13422296169984083,-0.1612631291464931,-0.10894206719786702,0.984,24
cell_aggregate,nearest,sparse_2_3,5,10533,15,363,graphcast_hres_init,pangu_hres_init,0.976,graphcast_hres_init__minus__pangu_hres_init,-0.13416540825714493,-0.16355204831165243,-0.10448558949372007,0.976,24
cell_aggregate,nearest,sparse_2_3,7,10533,15,363,graphcast_hres_init,pangu_hres_init,0.9715,graphcast_hres_init__minus__pangu_hres_init,-0.13484808785876867,-0.16560437296595518,-0.10473386066582985,0.9715,24
station,bilinear,all_eligible,1,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.14441457495789922,-0.16333990236880794,-0.12639625139728045,1.0,24
station,bilinear,all_eligible,3,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.1445077165586627,-0.1656866973230722,-0.12326812019741396,1.0,24
