unit,extraction,stratum,block_days,reference,model,n_common_cases,n_units,n_daily_blocks,mae_c_day_weighted,mae_ci_low_c,mae_ci_high_c,winner_probability,mae_rank,lead_h
cell_aggregate,nearest,dense_4_plus,1,avamet,graphcast_hres_init,8700,12,363,1.1476727833880667,1.1205740997866869,1.1756254897273017,1.0,1,24
cell_aggregate,nearest,dense_4_plus,1,avamet,pangu_hres_init,8700,12,363,1.2382127035768042,1.202796157157544,1.2721805706716722,0.0,2,24
cell_aggregate,nearest,dense_4_plus,1,avamet,ifs_hres,8700,12,363,1.3347732912374382,1.3002339056568963,1.3699811137911808,0.0,3,24
cell_aggregate,nearest,dense_4_plus,1,era5,pangu_hres_init,8700,12,363,0.943016767501831,0.9176603466272354,0.9674462288618088,0.8955,1,24
cell_aggregate,nearest,dense_4_plus,1,era5,graphcast_hres_init,8700,12,363,0.958525538444519,0.9372754767537117,0.981878849864006,0.1045,2,24
cell_aggregate,nearest,dense_4_plus,1,era5,ifs_hres,8700,12,363,1.2371066808700562,1.2090026825666427,1.26504987180233,0.0,3,24
cell_aggregate,nearest,dense_4_plus,3,avamet,graphcast_hres_init,8700,12,363,1.1476727833880667,1.1172051049084828,1.1804197836153327,1.0,1,24
cell_aggregate,nearest,dense_4_plus,3,avamet,pangu_hres_init,8700,12,363,1.2382127035768042,1.199536293467156,1.2800640469006606,0.0,2,24
cell_aggregate,nearest,dense_4_plus,3,avamet,ifs_hres,8700,12,363,1.3347732912374382,1.293092910019021,1.380912651365992,0.0,3,24
cell_aggregate,nearest,dense_4_plus,3,era5,pangu_hres_init,8700,12,363,0.943016767501831,0.913967353105545,0.9708744436502457,0.859,1,24
cell_aggregate,nearest,dense_4_plus,3,era5,graphcast_hres_init,8700,12,363,0.958525538444519,0.9322933405637741,0.9843208685517311,0.141,2,24
cell_aggregate,nearest,dense_4_plus,3,era5,ifs_hres,8700,12,363,1.2371066808700562,1.2057540267705917,1.2701691657304763,0.0,3,24
cell_aggregate,nearest,dense_4_plus,5,avamet,graphcast_hres_init,8700,12,363,1.1476727833880667,1.1150762645759584,1.1813093935276597,1.0,1,24
cell_aggregate,nearest,dense_4_plus,5,avamet,pangu_hres_init,8700,12,363,1.2382127035768042,1.19616800547081,1.2816940278479418,0.0,2,24
cell_aggregate,nearest,dense_4_plus,5,avamet,ifs_hres,8700,12,363,1.3347732912374382,1.2844363916578387,1.3864370103382244,0.0,3,24
cell_aggregate,nearest,dense_4_plus,5,era5,pangu_hres_init,8700,12,363,0.943016767501831,0.9111989736557007,0.9730371907353401,0.837,1,24
cell_aggregate,nearest,dense_4_plus,5,era5,graphcast_hres_init,8700,12,363,0.958525538444519,0.9293890088796616,0.9863300368189811,0.163,2,24
cell_aggregate,nearest,dense_4_plus,5,era5,ifs_hres,8700,12,363,1.2371066808700562,1.2029045611619948,1.2723912477493287,0.0,3,24
cell_aggregate,nearest,dense_4_plus,7,avamet,graphcast_hres_init,8700,12,363,1.1476727833880667,1.1118669669255983,1.18138344129165,1.0,1,24
cell_aggregate,nearest,dense_4_plus,7,avamet,pangu_hres_init,8700,12,363,1.2382127035768042,1.1928740846117083,1.2829581618516452,0.0,2,24
cell_aggregate,nearest,dense_4_plus,7,avamet,ifs_hres,8700,12,363,1.3347732912374382,1.2792861309955008,1.3903494705931234,0.0,3,24
cell_aggregate,nearest,dense_4_plus,7,era5,pangu_hres_init,8700,12,363,0.943016767501831,0.9099606931209564,0.9769620820879936,0.8285,1,24
cell_aggregate,nearest,dense_4_plus,7,era5,graphcast_hres_init,8700,12,363,0.958525538444519,0.9282828241586685,0.9883220821619034,0.1715,2,24
cell_aggregate,nearest,dense_4_plus,7,era5,ifs_hres,8700,12,363,1.2371066808700562,1.2000123888254166,1.2732311129570006,0.0,3,24
cell_aggregate,nearest,multi_station_cells,1,avamet,graphcast_hres_init,19233,27,363,1.215221824941873,1.1902861108667617,1.2429402042054767,1.0,1,24
cell_aggregate,nearest,multi_station_cells,1,avamet,pangu_hres_init,19233,27,363,1.310155771995022,1.2794822276454085,1.3423413678111875,0.0,2,24
cell_aggregate,nearest,multi_station_cells,1,avamet,ifs_hres,19233,27,363,1.381643698144571,1.353723821446436,1.4127156047184728,0.0,3,24
cell_aggregate,nearest,multi_station_cells,1,era5,pangu_hres_init,19233,27,363,0.9529834389686584,0.9282461941242218,0.9797135859727859,0.9855,1,24
cell_aggregate,nearest,multi_station_cells,1,era5,graphcast_hres_init,19233,27,363,0.9794284701347351,0.9595662355422974,0.9989243537187577,0.0145,2,24
cell_aggregate,nearest,multi_station_cells,1,era5,ifs_hres,19233,27,363,1.240291953086853,1.2146592557430267,1.2669799983501433,0.0,3,24
cell_aggregate,nearest,multi_station_cells,3,avamet,graphcast_hres_init,19233,27,363,1.215221824941873,1.182392975172756,1.24823443403867,1.0,1,24
