lead_h,stratum_type,stratum,block_days,model_a,model_b,era5_delta_mae_a_minus_b_c,avamet_delta_mae_a_minus_b_c,avamet_minus_era5_delta_mae_c,switch_ci_low_c,switch_ci_high_c,p_switch_gt_zero,p_pairwise_order_reverses
24,all_eligible,all,1,graphcast_hres_init,pangu_hres_init,0.07277297390652593,-0.0715898499347487,-0.143945371817876,-0.16258459992760113,-0.12580102130216306,0.0,1.0
24,all_eligible,all,1,ifs_hres,graphcast_hres_init,0.22388904796683173,0.08483805289113566,-0.13865324292702155,-0.15809060287437765,-0.11949366401290978,0.0,0.0
24,all_eligible,all,1,ifs_hres,pangu_hres_init,0.29666202187335766,0.013248202956386956,-0.28259861474489756,-0.3068024023183138,-0.2570609858179254,0.0,0.139
24,all_eligible,all,3,graphcast_hres_init,pangu_hres_init,0.07277297390652593,-0.0715898499347487,-0.14414192208072174,-0.16511657893984724,-0.12373871610843662,0.0,1.0
24,all_eligible,all,3,ifs_hres,graphcast_hres_init,0.22388904796683173,0.08483805289113566,-0.13933309815244982,-0.1598575778835072,-0.11978643636021723,0.0,0.0
24,all_eligible,all,3,ifs_hres,pangu_hres_init,0.29666202187335766,0.013248202956386956,-0.28347502023317156,-0.30914372988313193,-0.25809078552990766,0.0,0.1645
24,all_eligible,all,5,graphcast_hres_init,pangu_hres_init,0.07277297390652593,-0.0715898499347487,-0.14430457658717785,-0.16773189640810315,-0.122388112746844,0.0,1.0
24,all_eligible,all,5,ifs_hres,graphcast_hres_init,0.22388904796683173,0.08483805289113566,-0.13946234704501792,-0.16031461492949378,-0.11879353082763751,0.0,0.0
24,all_eligible,all,5,ifs_hres,pangu_hres_init,0.29666202187335766,0.013248202956386956,-0.2837669236321957,-0.31047897120910617,-0.25796940854605643,0.0,0.1895
24,all_eligible,all,7,graphcast_hres_init,pangu_hres_init,0.07277297390652593,-0.0715898499347487,-0.14451883510155789,-0.16756274048965525,-0.12137239374752473,0.0,1.0
24,all_eligible,all,7,ifs_hres,graphcast_hres_init,0.22388904796683173,0.08483805289113566,-0.13879970707316625,-0.160305932241054,-0.11721286182432393,0.0,0.0
24,all_eligible,all,7,ifs_hres,pangu_hres_init,0.29666202187335766,0.013248202956386956,-0.28331854217472413,-0.3099904246093743,-0.25650369252969457,0.0,0.2195
24,altitude_stratum,altitude_high,1,graphcast_hres_init,pangu_hres_init,0.13405080368499955,-0.1661495332723535,-0.3006573433800838,-0.339989230703459,-0.26190774213975543,0.0,1.0
24,altitude_stratum,altitude_high,1,ifs_hres,graphcast_hres_init,0.2864452122032968,0.026141564525719474,-0.26038443528910105,-0.292934955258818,-0.2269736085978657,0.0,0.003
24,altitude_stratum,altitude_high,1,ifs_hres,pangu_hres_init,0.4204960158882963,-0.14000796874663402,-0.5610417786691848,-0.606340750101277,-0.5159654345647812,0.0,1.0
24,altitude_stratum,altitude_high,3,graphcast_hres_init,pangu_hres_init,0.13405080368499955,-0.1661495332723535,-0.30058708252000965,-0.3531742238136115,-0.2524200155370068,0.0,1.0
24,altitude_stratum,altitude_high,3,ifs_hres,graphcast_hres_init,0.2864452122032968,0.026141564525719474,-0.26046211878307385,-0.2972394543189006,-0.2228304161640999,0.0,0.0025
24,altitude_stratum,altitude_high,3,ifs_hres,pangu_hres_init,0.4204960158882963,-0.14000796874663402,-0.5610492013030836,-0.6157300094859448,-0.5079283827028787,0.0,1.0
24,altitude_stratum,altitude_high,5,graphcast_hres_init,pangu_hres_init,0.13405080368499955,-0.1661495332723535,-0.29939777675476226,-0.3561329448386238,-0.2477096532198614,0.0,1.0
24,altitude_stratum,altitude_high,5,ifs_hres,graphcast_hres_init,0.2864452122032968,0.026141564525719474,-0.26129662989945984,-0.30370760304535344,-0.22066896254077062,0.0,0.007
24,altitude_stratum,altitude_high,5,ifs_hres,pangu_hres_init,0.4204960158882963,-0.14000796874663402,-0.5606944066542221,-0.6207453725486637,-0.5045422673412202,0.0,1.0
24,altitude_stratum,altitude_high,7,graphcast_hres_init,pangu_hres_init,0.13405080368499955,-0.1661495332723535,-0.30002719045462684,-0.3582789640654131,-0.2458715266706578,0.0,1.0
24,altitude_stratum,altitude_high,7,ifs_hres,graphcast_hres_init,0.2864452122032968,0.026141564525719474,-0.25974259310673675,-0.30228712582239536,-0.21476473380083827,0.0,0.0095
24,altitude_stratum,altitude_high,7,ifs_hres,pangu_hres_init,0.4204960158882963,-0.14000796874663402,-0.5597697835613638,-0.6223060583782158,-0.5025838483344363,0.0,1.0
24,altitude_stratum,altitude_low,1,graphcast_hres_init,pangu_hres_init,-0.009813993342495553,-0.04475439641403356,-0.035271628104574244,-0.05254489310144133,-0.01864982784654622,0.0,0.1955
24,altitude_stratum,altitude_low,1,ifs_hres,graphcast_hres_init,0.16698684199793912,0.07797667533651853,-0.08854939176909066,-0.10825525656742165,-0.06955184390471872,0.0,0.0
24,altitude_stratum,altitude_low,1,ifs_hres,pangu_hres_init,0.15717284865544356,0.03322227892248497,-0.1238210198736649,-0.14586792473653482,-0.10157442719664708,0.0,0.011
24,altitude_stratum,altitude_low,3,graphcast_hres_init,pangu_hres_init,-0.009813993342495553,-0.04475439641403356,-0.03498592135253569,-0.053239349937492075,-0.01679195051740502,0.0,0.2305
24,altitude_stratum,altitude_low,3,ifs_hres,graphcast_hres_init,0.16698684199793912,0.07797667533651853,-0.08876507719821675,-0.11028953056407755,-0.06718898380041556,0.0,0.0
24,altitude_stratum,altitude_low,3,ifs_hres,pangu_hres_init,0.15717284865544356,0.03322227892248497,-0.12375099855075246,-0.14637561169471228,-0.10083029554167046,0.0,0.0165
24,altitude_stratum,altitude_low,5,graphcast_hres_init,pangu_hres_init,-0.009813993342495553,-0.04475439641403356,-0.035025819384611315,-0.054314226316812535,-0.016710368290142767,0.0,0.247
24,altitude_stratum,altitude_low,5,ifs_hres,graphcast_hres_init,0.16698684199793912,0.07797667533651853,-0.08903816223633956,-0.11326089919719896,-0.0659407534270227,0.0,0.0
24,altitude_stratum,altitude_low,5,ifs_hres,pangu_hres_init,0.15717284865544356,0.03322227892248497,-0.12406398162095086,-0.1473494004373204,-0.10053520583488663,0.0,0.031
24,altitude_stratum,altitude_low,7,graphcast_hres_init,pangu_hres_init,-0.009813993342495553,-0.04475439641403356,-0.035038004862622305,-0.054178861109906565,-0.01645513124487192,0.0,0.2545
24,altitude_stratum,altitude_low,7,ifs_hres,graphcast_hres_init,0.16698684199793912,0.07797667533651853,-0.08890693370365216,-0.11301892055293497,-0.06494825948445934,0.0,0.0
24,altitude_stratum,altitude_low,7,ifs_hres,pangu_hres_init,0.15717284865544356,0.03322227892248497,-0.12394493856627446,-0.14768278311716465,-0.09775242423180402,0.0,0.034
24,altitude_stratum,altitude_mid,1,graphcast_hres_init,pangu_hres_init,0.09451602926525249,-0.002313066008749365,-0.09695442246356215,-0.12023909176505011,-0.07465140147355878,0.0,0.5925
24,altitude_stratum,altitude_mid,1,ifs_hres,graphcast_hres_init,0.2174938319857983,0.1517782450147913,-0.06528023757102586,-0.08911507676054367,-0.040628183547738485,0.0,0.0
24,altitude_stratum,altitude_mid,1,ifs_hres,pangu_hres_init,0.3120098612510508,0.14946517900604195,-0.162234660034588,-0.18967324342097064,-0.13396297077112088,0.0,0.0
24,altitude_stratum,altitude_mid,3,graphcast_hres_init,pangu_hres_init,0.09451602926525249,-0.002313066008749365,-0.09660557527531219,-0.12212588735840538,-0.07131554285887333,0.0,0.5355
24,altitude_stratum,altitude_mid,3,ifs_hres,graphcast_hres_init,0.2174938319857983,0.1517782450147913,-0.06596793311777163,-0.09194148703146006,-0.04037561294590885,0.0,0.0
24,altitude_stratum,altitude_mid,3,ifs_hres,pangu_hres_init,0.3120098612510508,0.14946517900604195,-0.16257350839308385,-0.18970215846852523,-0.13618215778609538,0.0,0.0
24,altitude_stratum,altitude_mid,5,graphcast_hres_init,pangu_hres_init,0.09451602926525249,-0.002313066008749365,-0.09671153365122767,-0.1235015334193995,-0.07116843118014163,0.0,0.5445
24,altitude_stratum,altitude_mid,5,ifs_hres,graphcast_hres_init,0.2174938319857983,0.1517782450147913,-0.06583061524032405,-0.09423391762454349,-0.0368544309820332,0.0,0.0
24,altitude_stratum,altitude_mid,5,ifs_hres,pangu_hres_init,0.3120098612510508,0.14946517900604195,-0.16254214889155175,-0.19131607795678449,-0.13537151353598495,0.0,0.0
