lead_h,stratum_type,stratum,block_days,n_common_cases,n_stations,n_daily_blocks,avamet_winner,era5_winner,p_winners_differ,primary_pair,primary_effect_c,primary_effect_ci_low_c,primary_effect_ci_high_c,primary_pair_reversal_probability
24,all_eligible,all,1,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.143945371817876,-0.16258459992760113,-0.12580102130216306,1.0
24,all_eligible,all,3,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.14414192208072174,-0.16511657893984724,-0.12373871610843662,1.0
24,all_eligible,all,5,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.14430457658717785,-0.16773189640810315,-0.122388112746844,1.0
24,all_eligible,all,7,102976,146,363,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.14451883510155789,-0.16756274048965525,-0.12137239374752473,1.0
24,altitude_stratum,altitude_high,1,34613,49,363,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.3006573433800838,-0.339989230703459,-0.26190774213975543,1.0
24,altitude_stratum,altitude_high,3,34613,49,363,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.30058708252000965,-0.3531742238136115,-0.2524200155370068,1.0
24,altitude_stratum,altitude_high,5,34613,49,363,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.29939777675476226,-0.3561329448386238,-0.2477096532198614,1.0
24,altitude_stratum,altitude_high,7,34613,49,363,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.30002719045462684,-0.3582789640654131,-0.2458715266706578,1.0
24,altitude_stratum,altitude_low,1,34497,49,363,graphcast_hres_init,graphcast_hres_init,0.1955,graphcast_hres_init__minus__pangu_hres_init,-0.035271628104574244,-0.05254489310144133,-0.01864982784654622,0.1955
24,altitude_stratum,altitude_low,3,34497,49,363,graphcast_hres_init,graphcast_hres_init,0.2305,graphcast_hres_init__minus__pangu_hres_init,-0.03498592135253569,-0.053239349937492075,-0.01679195051740502,0.2305
24,altitude_stratum,altitude_low,5,34497,49,363,graphcast_hres_init,graphcast_hres_init,0.247,graphcast_hres_init__minus__pangu_hres_init,-0.035025819384611315,-0.054314226316812535,-0.016710368290142767,0.247
24,altitude_stratum,altitude_low,7,34497,49,363,graphcast_hres_init,graphcast_hres_init,0.2545,graphcast_hres_init__minus__pangu_hres_init,-0.035038004862622305,-0.054178861109906565,-0.01645513124487192,0.2545
24,altitude_stratum,altitude_mid,1,33866,48,363,graphcast_hres_init,pangu_hres_init,0.5925,graphcast_hres_init__minus__pangu_hres_init,-0.09695442246356215,-0.12023909176505011,-0.07465140147355878,0.5925
24,altitude_stratum,altitude_mid,3,33866,48,363,graphcast_hres_init,pangu_hres_init,0.5355,graphcast_hres_init__minus__pangu_hres_init,-0.09660557527531219,-0.12212588735840538,-0.07131554285887333,0.5355
24,altitude_stratum,altitude_mid,5,33866,48,363,graphcast_hres_init,pangu_hres_init,0.5445,graphcast_hres_init__minus__pangu_hres_init,-0.09671153365122767,-0.1235015334193995,-0.07116843118014163,0.5445
24,altitude_stratum,altitude_mid,7,33866,48,363,graphcast_hres_init,pangu_hres_init,0.5425,graphcast_hres_init__minus__pangu_hres_init,-0.0966950548581421,-0.12331560791563767,-0.06952871393396222,0.5425
24,coast_stratum,coast_0_25km,1,55016,78,363,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.11569039862036593,-0.13536215294622114,-0.0950440796195202,1.0
24,coast_stratum,coast_0_25km,3,55016,78,363,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.11553882306853268,-0.13871332386646695,-0.09165979145678756,1.0
24,coast_stratum,coast_0_25km,5,55016,78,363,graphcast_hres_init,pangu_hres_init,0.9995,graphcast_hres_init__minus__pangu_hres_init,-0.11580918327528371,-0.13908777671355566,-0.09241313873335168,0.9995
24,coast_stratum,coast_0_25km,7,55016,78,363,graphcast_hres_init,pangu_hres_init,0.999,graphcast_hres_init__minus__pangu_hres_init,-0.11552444973284239,-0.14048520930529138,-0.09127643356554706,0.999
24,coast_stratum,interior_gt25km,1,47960,68,363,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.1766687007755975,-0.20392636869528924,-0.15069401701436588,1.0
24,coast_stratum,interior_gt25km,3,47960,68,363,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.17739444129463744,-0.20758440228147368,-0.1484177996783946,1.0
24,coast_stratum,interior_gt25km,5,47960,68,363,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.17712353777196432,-0.20986020266548208,-0.14511468292632507,1.0
24,coast_stratum,interior_gt25km,7,47960,68,363,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.17751512975117079,-0.2109953619956777,-0.1435579525197893,1.0
48,all_eligible,all,1,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.16840159207111371,-0.191016821323135,-0.1455131446157248,1.0
48,all_eligible,all,3,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.16858811753747108,-0.19390483739065822,-0.1434711689675242,1.0
48,all_eligible,all,5,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.1680301045075582,-0.1943621253809081,-0.14176337886867205,1.0
48,all_eligible,all,7,102694,146,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.16843786041042608,-0.19638196724068485,-0.1417290374994929,1.0
48,altitude_stratum,altitude_high,1,34517,49,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.3924940685091889,-0.43836764631915354,-0.34728503534257443,1.0
48,altitude_stratum,altitude_high,3,34517,49,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.3932293773008387,-0.44881460093556264,-0.3380112969870627,1.0
48,altitude_stratum,altitude_high,5,34517,49,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.39257753223857483,-0.45392806374521544,-0.3346999940464803,1.0
48,altitude_stratum,altitude_high,7,34517,49,362,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.3920337505721619,-0.456552681187925,-0.33374083178321523,1.0
48,altitude_stratum,altitude_low,1,34405,49,362,graphcast_hres_init,graphcast_hres_init,0.0145,graphcast_hres_init__minus__pangu_hres_init,-0.030956735301129423,-0.05226105012403939,-0.008957597181092567,0.0145
48,altitude_stratum,altitude_low,3,34405,49,362,graphcast_hres_init,graphcast_hres_init,0.028,graphcast_hres_init__minus__pangu_hres_init,-0.030879533128382996,-0.055904933840850005,-0.0073775989820526735,0.028
48,altitude_stratum,altitude_low,5,34405,49,362,graphcast_hres_init,graphcast_hres_init,0.0455,graphcast_hres_init__minus__pangu_hres_init,-0.031144089010776043,-0.05776216627908226,-0.0053747919039025295,0.0455
