lead_h,stratum_type,stratum,block_days,reference,model,n_common_cases,n_stations,n_daily_blocks,mae_c_day_weighted,mae_ci_low_c,mae_ci_high_c,winner_probability,mae_rank
24,all_eligible,all,1,avamet,graphcast_hres_init,102976,146,363,1.6224069212963694,1.59495336149028,1.64953147990264,1.0,1
24,all_eligible,all,1,avamet,pangu_hres_init,102976,146,363,1.693996771231119,1.6608761094287854,1.725763240695128,0.0,2
24,all_eligible,all,1,avamet,ifs_hres,102976,146,363,1.7072449741875058,1.6757957585187715,1.7398677461895031,0.0,3
24,all_eligible,all,1,era5_station,pangu_hres_init,102976,146,363,0.8615041657776651,0.8384662030179245,0.8853988136039782,1.0,1
24,all_eligible,all,1,era5_station,graphcast_hres_init,102976,146,363,0.9342771396841917,0.9102866186456722,0.9572377649025338,0.0,2
24,all_eligible,all,1,era5_station,ifs_hres,102976,146,363,1.1581661876510214,1.1271962790393064,1.187673032991449,0.0,3
24,all_eligible,all,3,avamet,graphcast_hres_init,102976,146,363,1.6224069212963694,1.5870604802849628,1.6592798287067414,1.0,1
24,all_eligible,all,3,avamet,pangu_hres_init,102976,146,363,1.693996771231119,1.6520158843366597,1.7370296259635993,0.0,2
24,all_eligible,all,3,avamet,ifs_hres,102976,146,363,1.7072449741875058,1.6639783976418514,1.752234215118048,0.0,3
24,all_eligible,all,3,era5_station,pangu_hres_init,102976,146,363,0.8615041657776651,0.83474929763591,0.8898780608826244,1.0,1
24,all_eligible,all,3,era5_station,graphcast_hres_init,102976,146,363,0.9342771396841917,0.9066096901790424,0.9616448374087342,0.0,2
24,all_eligible,all,3,era5_station,ifs_hres,102976,146,363,1.1581661876510214,1.1233348016584543,1.1970238253990755,0.0,3
24,all_eligible,all,5,avamet,graphcast_hres_init,102976,146,363,1.6224069212963694,1.5826043707709738,1.6635473738133693,1.0,1
24,all_eligible,all,5,avamet,pangu_hres_init,102976,146,363,1.693996771231119,1.6484227089845993,1.741185055557757,0.0,2
24,all_eligible,all,5,avamet,ifs_hres,102976,146,363,1.7072449741875058,1.6568956211978805,1.7567788150633372,0.0,3
24,all_eligible,all,5,era5_station,pangu_hres_init,102976,146,363,0.8615041657776651,0.8316320308034302,0.8926374648092651,1.0,1
24,all_eligible,all,5,era5_station,graphcast_hres_init,102976,146,363,0.9342771396841917,0.9037195116589265,0.9639313885894675,0.0,2
24,all_eligible,all,5,era5_station,ifs_hres,102976,146,363,1.1581661876510214,1.1175092511429807,1.1986379032456784,0.0,3
24,all_eligible,all,7,avamet,graphcast_hres_init,102976,146,363,1.6224069212963694,1.5791292812087254,1.6686728332608103,1.0,1
24,all_eligible,all,7,avamet,pangu_hres_init,102976,146,363,1.693996771231119,1.6446053915379781,1.7458723291731026,0.0,2
24,all_eligible,all,7,avamet,ifs_hres,102976,146,363,1.7072449741875058,1.652283637583312,1.7665783061342761,0.0,3
24,all_eligible,all,7,era5_station,pangu_hres_init,102976,146,363,0.8615041657776651,0.8314952719216697,0.8931109020462467,1.0,1
24,all_eligible,all,7,era5_station,graphcast_hres_init,102976,146,363,0.9342771396841917,0.9041184362363114,0.9654763574830916,0.0,2
24,all_eligible,all,7,era5_station,ifs_hres,102976,146,363,1.1581661876510214,1.113239311505279,1.2040428886182328,0.0,3
24,altitude_stratum,altitude_high,1,avamet,graphcast_hres_init,34613,49,363,1.64984672056067,1.610799554227137,1.687429154135527,0.997,1
24,altitude_stratum,altitude_high,1,avamet,ifs_hres,34613,49,363,1.6759882850863888,1.6385027671608792,1.7101763342889682,0.003,2
24,altitude_stratum,altitude_high,1,avamet,pangu_hres_init,34613,49,363,1.8159962538330234,1.7738876115945745,1.8559779705310933,0.0,3
24,altitude_stratum,altitude_high,1,era5_station,pangu_hres_init,34613,49,363,0.9425994870080764,0.9136796789754985,0.9726659580994922,1.0,1
24,altitude_stratum,altitude_high,1,era5_station,graphcast_hres_init,34613,49,363,1.0766502906930757,1.0480403992630443,1.1073002664019653,0.0,2
24,altitude_stratum,altitude_high,1,era5_station,ifs_hres,34613,49,363,1.3630955028963734,1.3245994252807938,1.4027887554737408,0.0,3
24,altitude_stratum,altitude_high,3,avamet,graphcast_hres_init,34613,49,363,1.64984672056067,1.5976808494576236,1.702859321064749,0.9975,1
24,altitude_stratum,altitude_high,3,avamet,ifs_hres,34613,49,363,1.6759882850863888,1.626331703699617,1.7242971818508983,0.0025,2
24,altitude_stratum,altitude_high,3,avamet,pangu_hres_init,34613,49,363,1.8159962538330234,1.765204492598117,1.8666546650789737,0.0,3
24,altitude_stratum,altitude_high,3,era5_station,pangu_hres_init,34613,49,363,0.9425994870080764,0.9117729525376768,0.9759999037235341,1.0,1
24,altitude_stratum,altitude_high,3,era5_station,graphcast_hres_init,34613,49,363,1.0766502906930757,1.0407714520448883,1.1139967615148578,0.0,2
24,altitude_stratum,altitude_high,3,era5_station,ifs_hres,34613,49,363,1.3630955028963734,1.312512812478367,1.4143707383404955,0.0,3
24,altitude_stratum,altitude_high,5,avamet,graphcast_hres_init,34613,49,363,1.64984672056067,1.5930213588009177,1.7043202675525617,0.993,1
24,altitude_stratum,altitude_high,5,avamet,ifs_hres,34613,49,363,1.6759882850863888,1.6253022131611612,1.7293306628725733,0.007,2
24,altitude_stratum,altitude_high,5,avamet,pangu_hres_init,34613,49,363,1.8159962538330234,1.7637790012379777,1.868196410461535,0.0,3
24,altitude_stratum,altitude_high,5,era5_station,pangu_hres_init,34613,49,363,0.9425994870080764,0.9076576320067078,0.9800370594360192,1.0,1
24,altitude_stratum,altitude_high,5,era5_station,graphcast_hres_init,34613,49,363,1.0766502906930757,1.0368555673004831,1.1185438677993589,0.0,2
24,altitude_stratum,altitude_high,5,era5_station,ifs_hres,34613,49,363,1.3630955028963734,1.3063429428191824,1.4256835171772198,0.0,3
24,altitude_stratum,altitude_high,7,avamet,graphcast_hres_init,34613,49,363,1.64984672056067,1.5942670427326893,1.7145022342918692,0.9905,1
24,altitude_stratum,altitude_high,7,avamet,ifs_hres,34613,49,363,1.6759882850863888,1.6240039834580873,1.7313008058815453,0.0095,2
24,altitude_stratum,altitude_high,7,avamet,pangu_hres_init,34613,49,363,1.8159962538330234,1.7615322031600273,1.8743635315827771,0.0,3
24,altitude_stratum,altitude_high,7,era5_station,pangu_hres_init,34613,49,363,0.9425994870080764,0.9050898873523741,0.9819006542375042,1.0,1
24,altitude_stratum,altitude_high,7,era5_station,graphcast_hres_init,34613,49,363,1.0766502906930757,1.0344804000105108,1.1211594713172879,0.0,2
24,altitude_stratum,altitude_high,7,era5_station,ifs_hres,34613,49,363,1.3630955028963734,1.299606575141791,1.4310542269513842,0.0,3
24,altitude_stratum,altitude_low,1,avamet,graphcast_hres_init,34497,49,363,1.6517347288832542,1.6143439849661663,1.6900011509218267,1.0,1
24,altitude_stratum,altitude_low,1,avamet,pangu_hres_init,34497,49,363,1.6964891252972871,1.6507416639976848,1.7422460969174398,0.0,2
24,altitude_stratum,altitude_low,1,avamet,ifs_hres,34497,49,363,1.729711404219773,1.6880198784713716,1.7730440786122277,0.0,3
24,altitude_stratum,altitude_low,1,era5_station,graphcast_hres_init,34497,49,363,0.7280221469736502,0.7075186087348283,0.7509459800673295,0.8045,1
24,altitude_stratum,altitude_low,1,era5_station,pangu_hres_init,34497,49,363,0.7378361403161457,0.7151940336015413,0.7617527078525635,0.1955,2
24,altitude_stratum,altitude_low,1,era5_station,ifs_hres,34497,49,363,0.8950089889715889,0.8714470120929155,0.9188558018382488,0.0,3
24,altitude_stratum,altitude_low,3,avamet,graphcast_hres_init,34497,49,363,1.6517347288832542,1.6050699677542255,1.6995543281896863,1.0,1
24,altitude_stratum,altitude_low,3,avamet,pangu_hres_init,34497,49,363,1.6964891252972871,1.639710818319383,1.7542632240784912,0.0,2
24,altitude_stratum,altitude_low,3,avamet,ifs_hres,34497,49,363,1.729711404219773,1.674245780320682,1.7886248415624817,0.0,3
24,altitude_stratum,altitude_low,3,era5_station,graphcast_hres_init,34497,49,363,0.7280221469736502,0.7049653858465822,0.7527014474545206,0.7695,1
24,altitude_stratum,altitude_low,3,era5_station,pangu_hres_init,34497,49,363,0.7378361403161457,0.7134285327207689,0.7638842018000439,0.2305,2
24,altitude_stratum,altitude_low,3,era5_station,ifs_hres,34497,49,363,0.8950089889715889,0.8680853899670279,0.9229449466835146,0.0,3
24,altitude_stratum,altitude_low,5,avamet,graphcast_hres_init,34497,49,363,1.6517347288832542,1.6003703070494437,1.7043941944836953,1.0,1
24,altitude_stratum,altitude_low,5,avamet,pangu_hres_init,34497,49,363,1.6964891252972871,1.6338606436056018,1.7630334411359856,0.0,2
24,altitude_stratum,altitude_low,5,avamet,ifs_hres,34497,49,363,1.729711404219773,1.663742555487669,1.8000230613248973,0.0,3
24,altitude_stratum,altitude_low,5,era5_station,graphcast_hres_init,34497,49,363,0.7280221469736502,0.7011753869324812,0.7553814024802606,0.753,1
24,altitude_stratum,altitude_low,5,era5_station,pangu_hres_init,34497,49,363,0.7378361403161457,0.7108309883147451,0.7648002988737723,0.247,2
24,altitude_stratum,altitude_low,5,era5_station,ifs_hres,34497,49,363,0.8950089889715889,0.8635301541367527,0.9249688597445713,0.0,3
24,altitude_stratum,altitude_low,7,avamet,graphcast_hres_init,34497,49,363,1.6517347288832542,1.5956656180675608,1.708830096807254,0.9995,1
24,altitude_stratum,altitude_low,7,avamet,pangu_hres_init,34497,49,363,1.6964891252972871,1.6276852109412632,1.768818252281109,0.0005,2
24,altitude_stratum,altitude_low,7,avamet,ifs_hres,34497,49,363,1.729711404219773,1.659517745629895,1.8072323803652615,0.0,3
24,altitude_stratum,altitude_low,7,era5_station,graphcast_hres_init,34497,49,363,0.7280221469736502,0.699036235733314,0.7558369262621581,0.745,1
24,altitude_stratum,altitude_low,7,era5_station,pangu_hres_init,34497,49,363,0.7378361403161457,0.7094411361994605,0.764676380798508,0.255,2
24,altitude_stratum,altitude_low,7,era5_station,ifs_hres,34497,49,363,0.8950089889715889,0.8651716405823404,0.9275963439985637,0.0,3
24,altitude_stratum,altitude_mid,1,avamet,graphcast_hres_init,33866,48,363,1.5632000380117372,1.5307207307203603,1.5950501745044416,0.5925,1
24,altitude_stratum,altitude_mid,1,avamet,pangu_hres_init,33866,48,363,1.5655131040204853,1.5293003280911022,1.6062784627655082,0.4075,2
24,altitude_stratum,altitude_mid,1,avamet,ifs_hres,33866,48,363,1.7149782830265279,1.6746202012308105,1.7572134049466628,0.0,3
24,altitude_stratum,altitude_mid,1,era5_station,pangu_hres_init,33866,48,363,0.9042632334445011,0.8763062005012984,0.9352131030529347,1.0,1
24,altitude_stratum,altitude_mid,1,era5_station,graphcast_hres_init,33866,48,363,0.9987792627097523,0.9703909036302077,1.0274655275396951,0.0,2
24,altitude_stratum,altitude_mid,1,era5_station,ifs_hres,33866,48,363,1.216273094695552,1.1805069288679066,1.2522827243659032,0.0,3
24,altitude_stratum,altitude_mid,3,avamet,graphcast_hres_init,33866,48,363,1.5632000380117372,1.5217881687398072,1.6074708450224013,0.5355,1
24,altitude_stratum,altitude_mid,3,avamet,pangu_hres_init,33866,48,363,1.5655131040204853,1.5195921819017701,1.6106721264886859,0.4645,2
24,altitude_stratum,altitude_mid,3,avamet,ifs_hres,33866,48,363,1.7149782830265279,1.658301184970653,1.7742142176443216,0.0,3
24,altitude_stratum,altitude_mid,3,era5_station,pangu_hres_init,33866,48,363,0.9042632334445011,0.8705094658588679,0.9352028225211948,1.0,1
24,altitude_stratum,altitude_mid,3,era5_station,graphcast_hres_init,33866,48,363,0.9987792627097523,0.9637130676247775,1.0344778423647212,0.0,2
24,altitude_stratum,altitude_mid,3,era5_station,ifs_hres,33866,48,363,1.216273094695552,1.1718679094111206,1.260982861019581,0.0,3
24,altitude_stratum,altitude_mid,5,avamet,graphcast_hres_init,33866,48,363,1.5632000380117372,1.516949428062744,1.6123177843603744,0.5445,1
24,altitude_stratum,altitude_mid,5,avamet,pangu_hres_init,33866,48,363,1.5655131040204853,1.5154610551102543,1.6183555416786009,0.4555,2
24,altitude_stratum,altitude_mid,5,avamet,ifs_hres,33866,48,363,1.7149782830265279,1.651809181660416,1.7818251385109758,0.0,3
24,altitude_stratum,altitude_mid,5,era5_station,pangu_hres_init,33866,48,363,0.9042632334445011,0.8674813821550783,0.9420948400099817,1.0,1
24,altitude_stratum,altitude_mid,5,era5_station,graphcast_hres_init,33866,48,363,0.9987792627097523,0.9585336381844165,1.03817754946362,0.0,2
24,altitude_stratum,altitude_mid,5,era5_station,ifs_hres,33866,48,363,1.216273094695552,1.1707674264610979,1.2659576113692526,0.0,3
24,altitude_stratum,altitude_mid,7,avamet,graphcast_hres_init,33866,48,363,1.5632000380117372,1.5152993873970804,1.6150351272758028,0.5425,1
24,altitude_stratum,altitude_mid,7,avamet,pangu_hres_init,33866,48,363,1.5655131040204853,1.5118868156089644,1.618153098979335,0.4575,2
24,altitude_stratum,altitude_mid,7,avamet,ifs_hres,33866,48,363,1.7149782830265279,1.6469414905251067,1.7882225423479978,0.0,3
24,altitude_stratum,altitude_mid,7,era5_station,pangu_hres_init,33866,48,363,0.9042632334445011,0.8670875744989933,0.9408261603371394,1.0,1
24,altitude_stratum,altitude_mid,7,era5_station,graphcast_hres_init,33866,48,363,0.9987792627097523,0.9562501574868334,1.0417314735561585,0.0,2
24,altitude_stratum,altitude_mid,7,era5_station,ifs_hres,33866,48,363,1.216273094695552,1.1677617245644556,1.2668346749230097,0.0,3
24,coast_stratum,coast_0_25km,1,avamet,graphcast_hres_init,55016,78,363,1.645811398016985,1.6154417836424897,1.676357310303664,1.0,1
24,coast_stratum,coast_0_25km,1,avamet,pangu_hres_init,55016,78,363,1.7094479886957448,1.6731109334542222,1.7458904377301487,0.0,2
24,coast_stratum,coast_0_25km,1,avamet,ifs_hres,55016,78,363,1.7426354490396518,1.7055133314930393,1.7804948096010829,0.0,3
24,coast_stratum,coast_0_25km,1,era5_station,pangu_hres_init,55016,78,363,0.8048936304389748,0.7832284985361154,0.8281625390401982,1.0,1
24,coast_stratum,coast_0_25km,1,era5_station,graphcast_hres_init,55016,78,363,0.8570231334848277,0.8323431692087891,0.8815106965723555,0.0,2
24,coast_stratum,coast_0_25km,1,era5_station,ifs_hres,55016,78,363,1.1173483829158886,1.0906240802252811,1.1464238873366244,0.0,3
24,coast_stratum,coast_0_25km,3,avamet,graphcast_hres_init,55016,78,363,1.645811398016985,1.6065210265791727,1.6840234666387839,1.0,1
24,coast_stratum,coast_0_25km,3,avamet,pangu_hres_init,55016,78,363,1.7094479886957448,1.660676119529648,1.7583003478223218,0.0,2
24,coast_stratum,coast_0_25km,3,avamet,ifs_hres,55016,78,363,1.7426354490396518,1.6903748926017794,1.7958331628134763,0.0,3
24,coast_stratum,coast_0_25km,3,era5_station,pangu_hres_init,55016,78,363,0.8048936304389748,0.7814736054903055,0.8308297617694729,1.0,1
24,coast_stratum,coast_0_25km,3,era5_station,graphcast_hres_init,55016,78,363,0.8570231334848277,0.8288381980151255,0.8866102545041077,0.0,2
24,coast_stratum,coast_0_25km,3,era5_station,ifs_hres,55016,78,363,1.1173483829158886,1.0821080039371467,1.153533188138748,0.0,3
24,coast_stratum,coast_0_25km,5,avamet,graphcast_hres_init,55016,78,363,1.645811398016985,1.602212677624113,1.6905709442485322,1.0,1
