skill_gap_deficit,fine_content_gain,sharp_wins_at_point,flip_support_fraction,reversal_observed,analytic_flip_expected,rmse_sharp_point,rmse_broad_point,rmse_sharp_max_support,rmse_broad_max_support
0.04,0.15,True,0.02,True,True,0.4265255518253136,0.4993860767423194,0.7137387443192952,0.7416461405544292
0.04,0.3,True,0.02,True,True,0.3521757982058232,0.4993860767423194,0.7254221893600661,0.7416461405544292
0.04,0.45,True,0.01,True,True,0.2780951622550439,0.4993860767423194,0.7444844460666381,0.7416461405544292
0.04,0.6,True,0.01,True,True,0.20457620986600517,0.4993860767423194,0.7703779643785748,0.7416461405544292
0.04,0.72,True,0.01,True,True,0.1467341279418321,0.4993860767423194,0.7955690891512468,0.7416461405544292
0.04,0.82,True,0.01,True,True,0.100375904830397,0.4993860767423194,0.8193178062926783,0.7416461405544292
0.04,0.9,True,0.01,True,True,0.0670565300868701,0.4993860767423194,0.8399693940657137,0.7416461405544292
0.04,1.0,True,0.01,True,True,0.044780577838459866,0.4993860767423194,0.8676775778012294,0.7416461405544292
0.04,1.1,True,0.01,True,True,0.06703872716997503,0.4993860767423194,0.8973072739790221,0.7416461405544292
0.08,0.15,True,0.02,True,True,0.4321635666240559,0.4993860767423194,0.682934909442895,0.7416461405544292
0.08,0.3,True,0.02,True,True,0.3589761716577263,0.4993860767423194,0.6951325378861465,0.7416461405544292
0.08,0.45,True,0.01,True,True,0.286649289663484,0.4993860767423194,0.7149991467589485,0.7416461405544292
0.08,0.6,True,0.01,True,True,0.21604888024901375,0.4993860767423194,0.7419189271407922,0.7416461405544292
0.08,0.72,True,0.01,True,True,0.1623343307239616,0.4993860767423194,0.7680413398233493,0.7416461405544292
0.08,0.82,True,0.01,True,True,0.12203845396074517,0.4993860767423194,0.7926130979985186,0.7416461405544292
0.08,0.9,True,0.01,True,True,0.09649800660422186,0.4993860767423194,0.8139408230666243,0.7416461405544292
0.08,1.0,True,0.01,True,True,0.0825658437170293,0.4993860767423194,0.8425034070270112,0.7416461405544292
0.08,1.1,True,0.01,True,True,0.09644967954114883,0.4993860767423194,0.8729859604338653,0.7416461405544292
0.12,0.15,True,0.01,True,True,0.44137730915124485,0.4993860767423194,0.6531343389289057,0.7416461405544292
0.12,0.3,True,0.01,True,True,0.37000982359012874,0.4993860767423194,0.6658741745999391,0.7416461405544292
0.12,0.45,True,0.01,True,True,0.3003431204781174,0.4993860767423194,0.6865841157905795,0.7416461405544292
0.12,0.6,True,0.01,True,True,0.23390188205655332,0.4993860767423194,0.7145715217236437,0.7416461405544292
0.12,0.72,True,0.01,True,True,0.18542180108977294,0.4993860767423194,0.7416549753769462,0.7416461405544292
0.12,0.82,True,0.01,True,True,0.1513893159333548,0.4993860767423194,0.7670701775511832,0.7416461405544292
0.12,0.9,True,0.01,True,True,0.13166028668097973,0.4993860767423194,0.7890868283659648,0.7416461405544292
0.12,1.0,True,0.01,True,True,0.12180400529085912,0.4993860767423194,0.8185150465594795,0.7416461405544292
0.12,1.1,True,0.01,True,True,0.1315985151346414,0.4993860767423194,0.8498564049606527,0.7416461405544292
0.16,0.15,True,0.01,True,True,0.4539491034345089,0.4993860767423194,0.6244806783235602,0.7416461405544292
0.16,0.3,True,0.01,True,True,0.3849128811138843,0.4993860767423194,0.637789045319295,0.7416461405544292
0.16,0.45,True,0.01,True,True,0.31851443221857006,0.4993860767423194,0.6593777331733849,0.7416461405544292
0.16,0.6,True,0.01,True,True,0.25680798461374804,0.4993860767423194,0.6884682299323444,0.7416461405544292
0.16,0.72,True,0.01,True,True,0.21358214453972105,0.4993860767423194,0.7165361010333983,0.7416461405544292
0.16,0.82,True,0.01,True,True,0.18480082378453158,0.4993860767423194,0.7428089055854344,0.7416461405544292
0.16,0.9,True,0.01,True,True,0.16900969101882674,0.4993860767423194,0.7655218224884079,0.7416461405544292
0.16,1.0,True,0.01,True,True,0.16143912667045296,0.4993860767423194,0.7958197351130746,0.7416461405544292
0.16,1.1,True,0.01,True,True,0.1689410442927555,0.4993860767423194,0.8280184839420457,0.7416461405544292
0.2,0.15,True,0.01,True,True,0.469609334174085,0.4993860767423194,0.5971390535460243,0.7416461405544292
0.2,0.3,True,0.01,True,True,0.4032565700650349,0.4993860767423194,0.6110389472189784,0.7416461405544292
0.2,0.45,True,0.01,True,True,0.3404470234904916,0.4993860767423194,0.6335357296260752,0.7416461405544292
