weighting,model,target_support_fraction,optimal_forecast_smoothing_fraction
uniform,sharp,0.0,0.0
uniform,sharp,0.005,0.005
uniform,sharp,0.01,0.01
uniform,sharp,0.02,0.02
uniform,sharp,0.04,0.04
uniform,sharp,0.08,0.08
uniform,sharp,0.16,0.16
uniform,mid,0.0,0.0
uniform,mid,0.005,0.0
uniform,mid,0.01,0.01
uniform,mid,0.02,0.02
uniform,mid,0.04,0.04
uniform,mid,0.08,0.08
uniform,mid,0.16,0.16
uniform,broad,0.0,0.0
uniform,broad,0.005,0.005
uniform,broad,0.01,0.01
uniform,broad,0.02,0.02
uniform,broad,0.04,0.04
uniform,broad,0.08,0.08
uniform,broad,0.16,0.16
gaussian,sharp,0.0,0.0
gaussian,sharp,0.005,0.005
gaussian,sharp,0.01,0.01
gaussian,sharp,0.02,0.02
gaussian,sharp,0.04,0.04
gaussian,sharp,0.08,0.08
gaussian,sharp,0.16,0.16
gaussian,mid,0.0,0.0
gaussian,mid,0.005,0.0
gaussian,mid,0.01,0.005
gaussian,mid,0.02,0.02
gaussian,mid,0.04,0.04
gaussian,mid,0.08,0.08
gaussian,mid,0.16,0.16
gaussian,broad,0.0,0.005
gaussian,broad,0.005,0.005
gaussian,broad,0.01,0.01
gaussian,broad,0.02,0.02
gaussian,broad,0.04,0.04
gaussian,broad,0.08,0.08
gaussian,broad,0.16,0.16
