weighting,metric,support_fraction,model_a,model_b,contrast_a_minus_b,pointwise_ci_low,pointwise_ci_high,simultaneous_ci_low,simultaneous_ci_high,bootstrap_probability_a_better
uniform,mae,0.0,sharp,mid,-0.16355165106234001,-0.16500317975345594,-0.16216667018439188,-0.16554405246268258,-0.16155924966199744,1.0
uniform,mae,0.0,sharp,broad,-0.37571753841725497,-0.3790280766723703,-0.3725060172967371,-0.3802055271865114,-0.37122954964799854,1.0
uniform,mae,0.0,mid,broad,-0.21216588735491493,-0.21412193548871772,-0.21030729104130833,-0.21473200783259294,-0.20959976687723691,1.0
uniform,mae,0.005,sharp,mid,0.02860361277992869,0.027764563155803182,0.02950604679190445,0.027409988936898895,0.029797236622958488,0.0
uniform,mae,0.005,sharp,broad,-0.16844063616460092,-0.17014508509902918,-0.16678503820170903,-0.17073815461580558,-0.16614311771339627,1.0
uniform,mae,0.005,mid,broad,-0.1970442489445296,-0.19899874936249137,-0.19516632164643083,-0.19968157417500498,-0.19440692371405421,1.0
uniform,mae,0.01,sharp,mid,0.160761045907374,0.15928849361162056,0.16238248390038545,0.15862059112916976,0.16290150068557824,0.0
uniform,mae,0.01,sharp,broad,0.20043846750274097,0.19810001224959053,0.20293770637411807,0.19709328001944773,0.2037836549860342,0.0
uniform,mae,0.01,mid,broad,0.039677421595366955,0.038266562452142654,0.04112025323222382,0.03778006199761101,0.0415747811931229,0.0
uniform,mae,0.02,sharp,mid,0.17564611823447096,0.17419248318322872,0.17721720151692777,0.1735673812683212,0.17772485520062073,0.0
uniform,mae,0.02,sharp,broad,0.3767635421550445,0.3733448870640233,0.3802383609364375,0.372061684769303,0.38146539954078595,0.0
uniform,mae,0.02,mid,broad,0.20111742392057355,0.19920914014324048,0.20313517931128142,0.198448213935664,0.2037866339054831,0.0
uniform,mae,0.04,sharp,mid,0.17253860007988367,0.17101726672486123,0.17411834176841648,0.17040621688223512,0.17467098327753222,0.0
uniform,mae,0.04,sharp,broad,0.292027289638331,0.2887851795587684,0.2957707097097859,0.2873215205503926,0.2967330587262694,0.0
uniform,mae,0.04,mid,broad,0.11948868955844737,0.11747571817551838,0.121766997364442,0.11660438269107248,0.12237299642582225,0.0
uniform,mae,0.08,sharp,mid,0.1383464890512036,0.13670457372051725,0.1401894986337884,0.1360164423744727,0.14067653572793454,0.0
uniform,mae,0.08,sharp,broad,0.1771325208144512,0.1739006702333814,0.18070703403428914,0.1724442361219249,0.1818208055069775,0.0
uniform,mae,0.08,mid,broad,0.038786031763247575,0.03696341188062878,0.04085056784385589,0.036105338787593574,0.041466724738901575,0.0
uniform,mae,0.16,sharp,mid,0.10634424505387208,0.10482393617070775,0.10817999774360476,0.10401715483625712,0.10867133527148704,0.0
uniform,mae,0.16,sharp,broad,0.10863460891835752,0.10557251637731822,0.11214319790787065,0.10405688596669209,0.11321233187002296,0.0
uniform,mae,0.16,mid,broad,0.002290363864485445,0.0004481786542152062,0.004216802915555787,-0.00025001731218126386,0.004830745041152154,0.0065
uniform,rmse,0.0,sharp,mid,-0.20501854583210583,-0.20684107404531368,-0.2033026131804107,-0.20737342493460587,-0.20266366672960578,1.0
uniform,rmse,0.0,sharp,broad,-0.4710643450225934,-0.4752374979218253,-0.46714386543709163,-0.47639838692815406,-0.4657303031170328,1.0
uniform,rmse,0.0,mid,broad,-0.2660457991904876,-0.26840032685015797,-0.26381020623370727,-0.2690732696938889,-0.2630183286870863,1.0
uniform,rmse,0.005,sharp,mid,0.036205147217914,0.03518001141428252,0.03727652067530774,0.03478763351189116,0.03762266092393684,0.0
uniform,rmse,0.005,sharp,broad,-0.2109031362410074,-0.2129377180132443,-0.20895804360221124,-0.21353952125510933,-0.20826675122690547,1.0
uniform,rmse,0.005,mid,broad,-0.24710828345892139,-0.24950656175428113,-0.24483283042621157,-0.2501812168359747,-0.24403535008186805,1.0
uniform,rmse,0.01,sharp,mid,0.2016509961636606,0.19981334525241568,0.20354612551249712,0.19917172350705067,0.20413026882027055,0.0
uniform,rmse,0.01,sharp,broad,0.2518056947684717,0.2489657978684778,0.2549043015450373,0.24781051853432262,0.2558008710026208,0.0
uniform,rmse,0.01,mid,broad,0.05015469860481109,0.04853947458783395,0.051931888839673826,0.04784124705047059,0.052468150159151586,0.0
uniform,rmse,0.02,sharp,mid,0.22030258834189376,0.21847334651019112,0.22221785945015776,0.2178477703983142,0.2227574062854733,0.0
uniform,rmse,0.02,sharp,broad,0.4722932600787013,0.4682798146616438,0.47651801095067503,0.46679559637237245,0.4777909237850302,0.0
uniform,rmse,0.02,mid,broad,0.25199067173680756,0.24978035780239208,0.25437399605336586,0.2489039229592885,0.25507742051432664,0.0
