weighting,metric,support_fraction,point_winner,point_ranking,point_winner_changed_vs_point,point_any_pair_order_changed_vs_point,point_pairwise_inversions_vs_point,bootstrap_probability_winner_changed_vs_point,bootstrap_probability_any_pair_order_changed_vs_point,n_stations,n_realisations,block
uniform,mae,0.0,sharp,sharp|mid|broad,False,False,0,0.0,0.0,256,730,7
uniform,mae,0.005,mid,mid|sharp|broad,True,True,1,1.0,1.0,256,730,7
uniform,mae,0.01,broad,broad|mid|sharp,True,True,3,1.0,1.0,256,730,7
uniform,mae,0.02,broad,broad|mid|sharp,True,True,3,1.0,1.0,256,730,7
uniform,mae,0.04,broad,broad|mid|sharp,True,True,3,1.0,1.0,256,730,7
uniform,mae,0.08,broad,broad|mid|sharp,True,True,3,1.0,1.0,256,730,7
uniform,mae,0.16,broad,broad|mid|sharp,True,True,3,1.0,1.0,256,730,7
uniform,rmse,0.0,sharp,sharp|mid|broad,False,False,0,0.0,0.0,256,730,7
uniform,rmse,0.005,mid,mid|sharp|broad,True,True,1,1.0,1.0,256,730,7
uniform,rmse,0.01,broad,broad|mid|sharp,True,True,3,1.0,1.0,256,730,7
uniform,rmse,0.02,broad,broad|mid|sharp,True,True,3,1.0,1.0,256,730,7
uniform,rmse,0.04,broad,broad|mid|sharp,True,True,3,1.0,1.0,256,730,7
uniform,rmse,0.08,broad,broad|mid|sharp,True,True,3,1.0,1.0,256,730,7
uniform,rmse,0.16,broad,broad|mid|sharp,True,True,3,1.0,1.0,256,730,7
gaussian,mae,0.0,sharp,sharp|mid|broad,False,False,0,0.0,0.0,256,730,7
gaussian,mae,0.005,sharp,sharp|mid|broad,False,False,0,0.0,0.0,256,730,7
gaussian,mae,0.01,mid,mid|sharp|broad,True,True,1,1.0,1.0,256,730,7
gaussian,mae,0.02,broad,broad|mid|sharp,True,True,3,1.0,1.0,256,730,7
gaussian,mae,0.04,broad,broad|mid|sharp,True,True,3,1.0,1.0,256,730,7
gaussian,mae,0.08,broad,broad|mid|sharp,True,True,3,1.0,1.0,256,730,7
gaussian,mae,0.16,broad,broad|mid|sharp,True,True,3,1.0,1.0,256,730,7
gaussian,rmse,0.0,sharp,sharp|mid|broad,False,False,0,0.0,0.0,256,730,7
gaussian,rmse,0.005,sharp,sharp|mid|broad,False,False,0,0.0,0.0,256,730,7
gaussian,rmse,0.01,mid,mid|sharp|broad,True,True,1,1.0,1.0,256,730,7
gaussian,rmse,0.02,broad,broad|mid|sharp,True,True,3,1.0,1.0,256,730,7
gaussian,rmse,0.04,broad,broad|mid|sharp,True,True,3,1.0,1.0,256,730,7
gaussian,rmse,0.08,broad,broad|mid|sharp,True,True,3,1.0,1.0,256,730,7
gaussian,rmse,0.16,broad,broad|mid|sharp,True,True,3,1.0,1.0,256,730,7
