weighting,metric,support_fraction,model,point_score,point_winner,bootstrap_winner_probability,n_stations,n_realisations,block
uniform,mae,0.0,sharp,0.022608327336878918,True,1.0,256,730,7
uniform,mae,0.0,mid,0.18615997839921894,False,0.0,256,730,7
uniform,mae,0.0,broad,0.39832586575413387,False,0.0,256,730,7
uniform,mae,0.005,sharp,0.12074122253541597,False,0.0,256,730,7
uniform,mae,0.005,mid,0.09213760975548728,True,1.0,256,730,7
uniform,mae,0.005,broad,0.2891818587000169,False,0.0,256,730,7
uniform,mae,0.01,sharp,0.32049470781077244,False,0.0,256,730,7
uniform,mae,0.01,mid,0.15973366190339844,False,0.0,256,730,7
uniform,mae,0.01,broad,0.12005624030803148,True,1.0,256,730,7
uniform,mae,0.02,sharp,0.4496227635693092,False,0.0,256,730,7
uniform,mae,0.02,mid,0.27397664533483823,False,0.0,256,730,7
uniform,mae,0.02,broad,0.07285922141426468,True,1.0,256,730,7
uniform,mae,0.04,sharp,0.4154639657176472,False,0.0,256,730,7
uniform,mae,0.04,mid,0.24292536563776354,False,0.0,256,730,7
uniform,mae,0.04,broad,0.12343667607931617,True,1.0,256,730,7
uniform,mae,0.08,sharp,0.5136131283736818,False,0.0,256,730,7
uniform,mae,0.08,mid,0.37526663932247817,False,0.0,256,730,7
uniform,mae,0.08,broad,0.3364806075592306,True,1.0,256,730,7
uniform,mae,0.16,sharp,0.703821597857173,False,0.0,256,730,7
uniform,mae,0.16,mid,0.5974773528033009,False,0.0065,256,730,7
uniform,mae,0.16,broad,0.5951869889388155,True,0.9935,256,730,7
uniform,rmse,0.0,sharp,0.028321731719726285,True,1.0,256,730,7
uniform,rmse,0.0,mid,0.23334027755183212,False,0.0,256,730,7
uniform,rmse,0.0,broad,0.4993860767423197,False,0.0,256,730,7
uniform,rmse,0.005,sharp,0.15141573928257865,False,0.0,256,730,7
uniform,rmse,0.005,mid,0.11521059206466465,True,1.0,256,730,7
uniform,rmse,0.005,broad,0.36231887552358605,False,0.0,256,730,7
uniform,rmse,0.01,sharp,0.40196123001864587,False,0.0,256,730,7
uniform,rmse,0.01,mid,0.20031023385498525,False,0.0,256,730,7
uniform,rmse,0.01,broad,0.15015553525017417,True,1.0,256,730,7
uniform,rmse,0.02,sharp,0.5635297055915378,False,0.0,256,730,7
uniform,rmse,0.02,mid,0.34322711724964405,False,0.0,256,730,7
uniform,rmse,0.02,broad,0.0912364455128365,True,1.0,256,730,7
uniform,rmse,0.04,sharp,0.5211302076586175,False,0.0,256,730,7
uniform,rmse,0.04,mid,0.30470762727816636,False,0.0,256,730,7
uniform,rmse,0.04,broad,0.15425050503644885,True,1.0,256,730,7
