weighting,metric,support_fraction,model_a,model_b,support_shift_in_contrast,pointwise_ci_low,pointwise_ci_high,simultaneous_ci_low,simultaneous_ci_high,point_order_reversed_vs_point
uniform,mae,0.005,sharp,mid,0.19215526384226872,0.19030053440563263,0.19416731711075622,0.1896859752204461,0.19462455246409133,True
uniform,mae,0.005,sharp,broad,0.20727690225265405,0.20539782556620262,0.20936546504965867,0.20479948495649744,0.20975431954881066,False
uniform,mae,0.005,mid,broad,0.01512163841038533,0.014811673796940714,0.015426606629709719,0.014725175325827313,0.015518101494943346,False
uniform,mae,0.01,sharp,mid,0.324312696969714,0.3214615597571379,0.32734839025010803,0.3205357156831321,0.32808967825629587,True
uniform,mae,0.01,sharp,broad,0.5761560059199959,0.5709887865975527,0.5816877588575188,0.5692859886944212,0.5830260231455707,True
uniform,mae,0.01,mid,broad,0.2518433089502819,0.24929606358842557,0.254568878453746,0.24848187810376357,0.2552047397968002,True
uniform,mae,0.02,sharp,mid,0.339197769296811,0.33637428015666604,0.34219380831955476,0.3354502498179678,0.3429452887756542,True
uniform,mae,0.02,sharp,broad,0.7524810805722995,0.7458965225767971,0.7592735125602906,0.7440018032938159,0.760960357850783,True
uniform,mae,0.02,mid,broad,0.41328331127548845,0.4095652087477018,0.41717483963852053,0.4084732240114369,0.41809339853954003,True
uniform,mae,0.04,sharp,mid,0.3360902511422237,0.3331918569991061,0.339099834787798,0.33229610961371847,0.3398843926707289,True
uniform,mae,0.04,sharp,broad,0.667744828055586,0.661490746621767,0.6746532895700192,0.6594650001644519,0.6760246559467201,True
uniform,mae,0.04,mid,broad,0.3316545769133623,0.32809600947345574,0.3355733999040129,0.3269475470926611,0.3363616067340635,True
uniform,mae,0.08,sharp,mid,0.30189814011354366,0.2990220251890693,0.3050384627567357,0.2980817090425886,0.3057145711844987,True
uniform,mae,0.08,sharp,broad,0.5528500592317062,0.5470918045749497,0.559540611857686,0.5450699790544348,0.5606301394089775,True
uniform,mae,0.08,mid,broad,0.2509519191181625,0.24778808854509002,0.25447131315539906,0.2467873808058985,0.25511645743042655,True
uniform,mae,0.16,sharp,mid,0.2698958961162121,0.26722580790624867,0.27307308278185055,0.26622573884694717,0.27356605338547707,True
uniform,mae,0.16,sharp,broad,0.4843521473356125,0.47892369033295523,0.4905867819388201,0.4771202165865115,0.4915840780847135,True
