metric,covariate,prediction,spearman,bootstrap_median,ci_low,ci_high,predicted_sign_passed
mae,absolute_elevation_mismatch_m,negative,-0.46098478023170586,-0.4600332424895035,-0.5121087867284059,-0.40411579628539435,True
mae,era5_orography_sd_m,negative,-0.25696779671265013,-0.25478952748793315,-0.3172497020364471,-0.18937315858954004,True
mae,era5_landsea_heterogeneity_100km,negative,-0.1032638505196791,-0.1036721277080135,-0.16888287650227168,-0.0393472214744458,True
mae,era5_filtered_subgrid_orography_sd_m,descriptive,-0.2584928654038737,-0.2569074973492478,-0.3195943102428326,-0.18932917227364107,
mae,era5_subgrid_orography_slope,descriptive,-0.2611259469736072,-0.2585130168162784,-0.321402013246224,-0.19342358516466227,
mae,absolute_latitude_deg,descriptive,-0.024830133038779154,-0.024258454580365022,-0.10579168636687358,0.05756047808724658,
mae,sites,descriptive,0.015418261560119498,0.016211451438038663,-0.04010320145125665,0.07182912555981959,
rmse,absolute_elevation_mismatch_m,negative,-0.40106326822992483,-0.40022578417755883,-0.4546641193263864,-0.3416358275960797,True
rmse,era5_orography_sd_m,negative,-0.2007773430980866,-0.19933391909922282,-0.2609393663405207,-0.13300331258917808,True
rmse,era5_landsea_heterogeneity_100km,negative,-0.09186689153110165,-0.092414288534514,-0.15579770308011384,-0.02642143110633759,True
rmse,era5_filtered_subgrid_orography_sd_m,descriptive,-0.20559501563045873,-0.2043481063983112,-0.26721602990088167,-0.1352843057177826,
rmse,era5_subgrid_orography_slope,descriptive,-0.20708913328791526,-0.2052490121634995,-0.2680221855242008,-0.13734098518576912,
rmse,absolute_latitude_deg,descriptive,-0.08872659701869427,-0.08777875396108087,-0.1675073278510827,-0.005905735794565571,
rmse,sites,descriptive,-0.0004124134422954503,0.0007244273853371267,-0.0574141486307735,0.05755952712089009,
