cell_id,mae_advantage_c,rmse_advantage_c,minimum_days,maximum_days,sites,mean_latitude,mean_longitude,absolute_latitude_deg,altitude_m,station_minus_era5_elevation_m,absolute_elevation_mismatch_m,era5_orography_sd_m,era5_filtered_subgrid_orography_sd_m,era5_subgrid_orography_slope,era5_land_fraction_100km,era5_landsea_heterogeneity_100km,climate_belt,spatial_block
b013s0075,-2.4790836351474383,-2.640715253684096,364,364,1,-77.8666666,-34.6166666,77.8666666,256.0,-184.94606421260733,184.94606421260733,72.98409418075465,39.27439079267525,0.0111874559839056,0.5949589149466782,0.4546997600149657,polar,1_14
b019s0000,-5.684233406333291,-5.7377686763888915,352,352,1,-72.0166666,2.5333333,72.0166666,1277.0,-228.3341941714616,228.3341941714616,143.29128363137127,117.76906465184342,0.0233880460264092,0.982631704901198,0.1128160855227666,polar,1_18
b020s0126,-0.4196690283649076,-0.5985562902795087,365,365,1,-71.7,-2.8,71.7,817.0,91.9574507477056,91.9574507477056,68.98830444335874,31.340976562499804,0.0088487139344214,0.937283061526298,0.2162361860869531,polar,1_17
b021s0004,-1.753424128547789,-1.852594587703666,362,362,1,-70.7666666,11.8333333,70.7666666,119.0,-209.5370420911625,209.5370420911625,90.42933821804029,38.90082821610666,0.0117040118379062,0.8224233990528338,0.3491522350763412,polar,1_19
b021s0129,-1.3047705863331343,-1.9329031848493923,365,365,1,-70.6666666,-8.25,70.6666666,50.0,24.125636482323287,24.125636482323287,8.945707195312476,4.653533106933584,0.0014268355502366,0.4650921188654544,0.4594594525703114,polar,1_17
b022s0029,-1.6512565539271877,-1.8340178054819642,363,363,1,-69.3833333,76.3833333,69.3833333,64.0,-179.8283738654048,179.8283738654048,31.219291534819103,18.082956688343383,0.0054709700946277,0.6279616013600307,0.4438292001772837,polar,2_25
b023s0015,-0.8846347215432203,-1.56533198630307,365,365,1,-69.0,39.5833333,69.0,21.0,-134.8346682683911,134.8346682683911,2.363759341430664,1.6840718468017577,0.0005492890843391,0.4712999724731657,0.4556657873695458,polar,2_21
b023s0031,-0.66831118736338,-0.8250540092253318,365,365,1,-68.5833333,77.9666666,68.5833333,23.0,-43.20130514327472,43.20130514327472,23.956386052263426,13.356258517078144,0.0040075780881553,0.4627725253062406,0.4620577689046334,polar,2_25
b024s0026,-1.2611901996009747,-1.4503482135883397,365,365,1,-67.6,62.8666666,67.6,16.0,-265.56107640347017,265.56107640347017,29.4938872505316,10.116150578110137,0.003899427109351,0.5120865161706007,0.4606829093322557,polar,2_24
b024s0122,-0.3019226911217941,-0.10228311182292837,365,365,1,-68.1166666,-67.1333333,68.1166666,7.0,-269.95317898734623,269.95317898734623,192.50340641220268,141.170264269627,0.0286602830504464,0.5626988193658136,0.4254072233085131,polar,2_11
b026s0041,-0.6670840528903083,-1.037760591496913,350,350,1,-66.55,93.0166666,66.55,40.0,-113.43444874940931,113.43444874940931,16.655339884071708,8.923011098710646,0.0031791697044252,0.5513147628631555,0.464266687732726,polar,2_27
b026s0049,-0.9944696504244704,-1.2669072065844933,365,365,1,-66.2833333,110.5333333,66.2833333,42.0,-74.64887304578411,74.64887304578411,9.070494795324535,4.3531432903539455,0.0014918507435183,0.4750114754954561,0.4605888114856585,midlatitude,2_29
b028s0142,-1.177037834678249,-1.3279340741169383,362,362,1,-64.766,-64.083,64.766,7.9,-144.70753854527678,144.70753854527678,136.59915434962022,75.0924085976617,0.0183029191893353,0.3138670796662111,0.3911366229840887,midlatitude,2_11
b028s0145,-1.7096585106162598,-2.101446072252012,365,365,1,-64.2333333,-56.7166666,64.2333333,208.0,119.02156848428764,119.02156848428764,3.0517578125e-05,3.0517578125e-05,0.0001000016927719,0.1751844629593557,0.2768730165306054,midlatitude,2_12
b029s0150,-1.2117323415475447,-1.4891174327586107,364,364,1,-63.4,-56.9833333,63.4,24.0,-97.91800226192473,97.91800226192473,66.71123441383375,52.51229914530473,0.0122830419795577,0.1708676676617553,0.2526056969035987,midlatitude,2_12
b030s0154,-0.17672824516671926,-0.13557090971407845,365,365,4,-62.274999975,-59.0458333,62.274999975,19.5,-24.07697087245132,32.58042417001177,3.0517578125e-05,3.0517578125e-05,0.0001000016927719,0.0808412780859511,0.1687487364687881,midlatitude,2_12
b032s0171,-1.05623383805295,-1.5748448903417216,362,362,1,-60.7333333,-44.7333333,60.7333333,8.0,10.804797600756448,10.804797600756448,3.0517578125e-05,3.0517578125e-05,0.0001000016927719,0.005182431392574,0.023369332480428,midlatitude,2_13
b039s0188,-2.0088605756395124,-2.0611481900963953,365,365,1,-54.843278,-68.29575,54.843278,21.64,-331.3820500285307,331.3820500285307,233.6742099863688,179.99187176656704,0.042266405852748,0.4427662947082506,0.3572947307191289,midlatitude,3_11
b040s0193,-0.9187401041546125,-1.4032271486886276,365,365,1,-53.777667,-67.749389,53.777667,19.81,-11.429456946944685,11.429456946944685,9.21612664130801,7.297030778369599,0.001581335080058,0.421929554184304,0.3882090828782138,midlatitude,3_11
b041s0114,-0.7325718548221666,-0.9690328340783626,365,365,1,-52.55,169.15,52.55,19.0,15.579656725283318,15.579656725283318,3.0517578125e-05,3.0517578125e-05,0.0001000016927719,0.0011295627531148,0.0057680279601204,midlatitude,3_34
b041s0195,-0.4749336029795945,-0.7390573501882697,364,364,1,-53.002642,-70.854586,53.002642,42.36,3.8718541558517,3.8718541558517,44.61534155946128,23.525473932692933,0.007314978435446,0.6469594257622444,0.2946332979874149,midlatitude,3_10
