metric,covariate,prediction,q4_minus_q1_advantage_c,q1_cells,q4_cells,bootstrap_median,ci_low,ci_high,predicted_sign_passed
mae,absolute_elevation_mismatch_m,negative,-0.6669837905627565,633,632,-0.6672675839233903,-0.7620349461128045,-0.574990284885647,True
mae,era5_orography_sd_m,negative,-0.4263629173812894,633,632,-0.4263593736326456,-0.5331310934549965,-0.31734002698180935,True
mae,era5_landsea_heterogeneity_100km,negative,-0.017201353215633763,633,632,-0.018557289343511474,-0.11614880645685202,0.07803638123900633,True
mae,era5_filtered_subgrid_orography_sd_m,descriptive,-0.4469867275774848,633,632,-0.4467167689481495,-0.5615794802211492,-0.3333069411624978,
mae,era5_subgrid_orography_slope,descriptive,-0.44218101712663016,633,632,-0.441451607184371,-0.5535762013247623,-0.33436352176047396,
mae,absolute_latitude_deg,descriptive,-0.03922852618881301,633,632,-0.039634684770737505,-0.15449488279001466,0.06275409889543468,
mae,sites,descriptive,,0,0,,,,
rmse,absolute_elevation_mismatch_m,negative,-0.66858094888578,633,632,-0.6693143645128052,-0.7753747556469057,-0.5663819843056028,True
rmse,era5_orography_sd_m,negative,-0.3879926259984674,633,632,-0.38624446310501104,-0.5077993867741535,-0.2671756738021879,True
rmse,era5_landsea_heterogeneity_100km,negative,-0.017483961706977413,633,632,-0.020107480851408732,-0.12995480409155463,0.09032147015233691,True
rmse,era5_filtered_subgrid_orography_sd_m,descriptive,-0.4168189841130787,633,632,-0.41653874600572677,-0.5422404728815092,-0.28924103215131053,
rmse,era5_subgrid_orography_slope,descriptive,-0.4106115247473031,633,632,-0.4082401569744111,-0.53424579001239,-0.2857062804710636,
rmse,absolute_latitude_deg,descriptive,-0.1174611198084492,633,632,-0.11826946959947249,-0.2424277240272848,0.005518800968246823,
rmse,sites,descriptive,,0,0,,,,
